"","V1","V2","V3","V4"
"1","gaan","insecten","smart","we"
"2","gaat","city","minuten","mensen"
"3","wij","voedsel","cities","wel"
"4","lockdowns","eten","steden","klimaat"
"5","goed","the","stad","onze"
"6","alle","mensen","wef","jaar"
"7","willen","wef","minute","zien"
"8","komen","eu","nederland","gewoon"
"9","boeren","waar","waar","moeten"
"10","leven","zoals","wereld","volgende"
"11","weer","moeten","mensen","mee"
"12","mag","alleen","nieuwe","echt"
"13","laten","toe","iedereen","natuurlijk"
"14","lockdown","nieuwe","eerste","straks"
"15","geld","grote","hele","zullen"
"16","zodat","onze","grote","krijgen"
"17","komt","maken","agenda","waar"
"18","wereld","zit","gaat","agenda"
"19","maken","nederland","zullen","alleen"
"20","zoals","daarom","alle","controle"
