"","V1","V2","V3","V4"
"1","plus","a","villes","insectes"
"2","c’est","climatique","ville","plus"
"3","confinement","tout","smart","produits"
"4","place","comme","minutes","grillons"
"5","france","c'est","cities","a"
"6","faire","fait","a","nourriture"
"7","déjà","contre","city","si"
"8","zones","gens","mondial","manger"
"9","climatiques","plus","projet","the"
"10","émissions","covid","plus","c'est"
"11","ça","monde","intelligentes","base"
"12","va","après","wef","farine"
"13","être","d'une","monde","d'insectes"
"14","bien","santé","caméras","comme"
"15","véhicules","si","tous","viande"
"16","vont","aussi","surveillance","confinements"
"17","climat","d'un","forum","of"
"18","non","sous","carbone","vers"
"19","mettre","être","lien","être"
"20","voiture","vie","économique","chaque"
