"","lemma","n","share","fifteen_minutes","climate_lockdown","ulez","insect"
"96","man",123,0.00125423175755598,18,6,70,36
"97","community",122,0.00124403475139699,24,14,53,41
"98","council",122,0.00124403475139699,75,35,43,1
"99","level",122,0.00124403475139699,16,14,43,55
"100","program",122,0.00124403475139699,20,5,79,25
"101","air",120,0.00122364073907901,26,17,54,30
"102","Covid",119,0.00121344373292001,16,32,54,21
"103","g",118,0.00120324672676102,13,10,72,30
"104","article",117,0.00119304972060203,12,19,51,40
"105","scheme",117,0.00119304972060203,45,26,80,4
"106","consumption",115,0.00117265570828405,11,17,17,84
"107","disease",115,0.00117265570828405,5,4,14,93
"108","bird",114,0.00116245870212506,1,NA,3,111
"109","identity",113,0.00115226169596606,1,3,108,4
"110","infrastructure",113,0.00115226169596606,16,1,96,5
"111","line",112,0.00114206468980707,11,9,74,25
"112","policy",112,0.00114206468980707,24,12,55,30
"113","nature",111,0.00113186768364808,8,2,47,58
"114","currency",110,0.00112167067748909,40,12,53,15
"115","event",110,0.00112167067748909,20,22,51,21
"116","neighbourhood",110,0.00112167067748909,82,21,46,NA
"117","reality",110,0.00112167067748909,27,14,63,14
"118","traffic",110,0.00112167067748909,42,18,77,1
"119","vehicle",109,0.0011114736713301,18,11,79,14
"120","zone",108,0.00110127666517111,71,26,47,2
"121","environment",107,0.00109107965901211,12,7,56,38
"122","globalist",107,0.00109107965901211,18,12,49,36
"123","person",107,0.00109107965901211,24,7,50,35
"124","house",106,0.00108088265285312,5,7,17,81
"125","concept",105,0.00107068564669413,67,3,40,12
"126","development",105,0.00107068564669413,11,10,74,16
"127","diet",104,0.00106048864053514,NA,NA,1,103
"128","road",104,0.00106048864053514,17,4,102,5
"129","work",104,0.00106048864053514,24,9,43,36
"130","family",103,0.00105029163437615,15,4,39,56
"131","mass",103,0.00105029163437615,11,11,53,35
"132","worm",103,0.00105029163437615,NA,NA,1,103
"133","crisis",102,0.00104009462821716,20,19,25,48
"134","leader",102,0.00104009462821716,21,8,39,37
"135","light",102,0.00104009462821716,1,5,61,36
"136","link",102,0.00104009462821716,9,10,69,25
"137","min",102,0.00104009462821716,13,9,84,6
"138","production",102,0.00104009462821716,7,5,14,83
"139","fact",101,0.00102989762205816,15,11,30,55
"140","network",101,0.00102989762205816,9,4,77,20
"141","supply",100,0.00101970061589917,1,12,31,62
"142","face",99,0.00100950360974018,41,10,24,27
"143","problem",99,0.00100950360974018,14,17,30,44
"144","street",99,0.00100950360974018,34,6,54,10
"145","theory",98,0.000999306603581189,33,34,25,22
"146","form",97,0.000989109597422197,9,6,27,60
"147","point",97,0.000989109597422197,21,12,33,39
"148","hand",96,0.000978912591263205,10,5,31,51
"149","lab",96,0.000978912591263205,2,1,21,73
"150","public",96,0.000978912591263205,36,17,26,23
"151","month",95,0.000968715585104213,18,11,30,42
"152","example",94,0.000958518578945222,21,6,41,28
"153","oil",94,0.000958518578945222,1,15,13,65
"154","study",94,0.000958518578945222,11,6,9,69
"155","economy",93,0.00094832157278623,13,28,53,14
"156","mind",93,0.00094832157278623,17,5,40,36
"157","restriction",93,0.00094832157278623,39,27,26,12
"158","market",92,0.000938124566627238,5,21,28,40
"159","list",91,0.000927927560468247,22,5,27,41
"160","rights",91,0.000927927560468247,6,17,60,33
"161","speech",91,0.000927927560468247,17,11,60,9
"162","dandelion",90,0.000917730554309255,NA,NA,NA,90
"163","other",90,0.000917730554309255,18,3,33,42
"164","Cities",89,0.000907533548150263,7,1,88,1
"165","service",89,0.000907533548150263,27,1,53,11
"166","reason",88,0.000897336541991271,9,12,35,39
"167","word",88,0.000897336541991271,14,10,38,33
"168","name",87,0.00088713953583228,16,4,30,41
"169","co2",86,0.000876942529673288,28,14,31,33
"170","town",86,0.000876942529673288,29,5,54,8
"171","heart",85,0.000866745523514296,6,4,26,51
"172","nation",85,0.000866745523514296,10,11,39,27
"173","website",85,0.000866745523514296,15,7,56,10
"174","farm",83,0.000846351511196313,2,11,17,54
"175","flower",83,0.000846351511196313,NA,NA,NA,83
"176","issue",83,0.000846351511196313,12,7,33,35
"177","rule",83,0.000846351511196313,8,12,49,18
"178","soil",83,0.000846351511196313,2,NA,3,78
"179","history",82,0.000836154505037321,12,5,44,23
"180","meeting",81,0.000825957498878329,53,NA,30,4
"181","industry",80,0.000815760492719338,2,3,27,50
"182","cost",79,0.000805563486560346,11,7,36,27
"183","lie",79,0.000805563486560346,17,9,37,19
"184","reaction",79,0.000805563486560346,1,5,10,64
"185","friend",78,0.000795366480401354,10,2,32,38
"186","hour",78,0.000795366480401354,8,4,46,20
"187","kid",78,0.000795366480401354,4,7,9,59
"188","member",78,0.000795366480401354,20,3,41,21
"189","shortage",78,0.000795366480401354,3,14,24,37
"190","be",77,0.000785169474242362,3,2,14,59
"191","access",76,0.000774972468083371,14,4,48,17
"192","law",76,0.000774972468083371,10,11,35,24
"193","solution",76,0.000774972468083371,13,9,39,20
"194","farmer",75,0.000764775461924379,2,2,12,59
"195","charge",74,0.000754578455765387,6,NA,78,6
"196","emergency",74,0.000754578455765387,14,32,29,10
"197","head",74,0.000754578455765387,8,4,17,45
"198","kind",74,0.000754578455765387,6,8,36,31
"199","scientist",74,0.000754578455765387,5,1,4,65
"200","self",74,0.000754578455765387,9,2,33,31
"201","score",73,0.000744381449606396,22,17,35,4
"202","snack",73,0.000744381449606396,NA,NA,NA,73
"203","benefit",72,0.000734184443447404,6,2,25,44
"204","cash",72,0.000734184443447404,39,5,27,6
"205","passport",72,0.000734184443447404,13,19,40,4
"206","test",72,0.000734184443447404,14,11,20,28
"207","5g",71,0.000723987437288412,10,10,42,14
"208","campaign",71,0.000723987437288412,12,1,12,46
"209","code",71,0.000723987437288412,20,4,41,7
"210","fish",71,0.000723987437288412,NA,NA,3,68
"211","question",71,0.000723987437288412,14,5,35,26
"212","show",71,0.000723987437288412,11,7,42,19
"213","threat",71,0.000723987437288412,12,20,16,26
"214","weather",71,0.000723987437288412,13,16,32,15
"215","amount",70,0.00071379043112942,14,1,25,30
"216","earth",70,0.00071379043112942,3,3,17,53
"217","shop",70,0.00071379043112942,20,11,23,19
"218","effect",69,0.000703593424970429,6,6,13,45
"219","game",69,0.000703593424970429,5,7,32,25
"220","process",69,0.000703593424970429,2,1,23,43
"221","tech",69,0.000703593424970429,3,1,59,8
"222","zones",69,0.000703593424970429,30,31,22,1
"223","building",68,0.000693396418811437,15,2,40,15
"224","dog",68,0.000693396418811437,3,1,7,57
"225","privacy",68,0.000693396418811437,5,2,53,10
"226","share",68,0.000693396418811437,30,4,27,12
"227","term",68,0.000693396418811437,11,7,34,18
"228","type",68,0.000693396418811437,5,3,27,35
"229","action",67,0.000683199412652445,20,4,46,11
"230","bank",67,0.000683199412652445,22,17,21,10
"231","bread",67,0.000683199412652445,1,NA,2,64
"232","fire",67,0.000683199412652445,12,9,27,23
"233","thousand",67,0.000683199412652445,27,3,26,18
"234","warming",67,0.000683199412652445,19,32,10,18
"235","agenday",66,0.000673002406493453,16,12,26,22
"236","camp",66,0.000673002406493453,18,8,35,9
"237","ground",66,0.000673002406493453,5,3,10,48
"238","intelligence",66,0.000673002406493453,2,NA,57,11
"239","scam",66,0.000673002406493453,24,13,26,9
"240","chicken",65,0.000662805400334462,1,2,6,56
"241","tax",65,0.000662805400334462,9,10,48,16
"242","weapon",65,0.000662805400334462,11,9,32,22
"243","awareness",64,0.00065260839417547,18,5,39,9
"244","chain",64,0.00065260839417547,2,5,16,42
"245","gas",64,0.00065260839417547,3,11,32,22
"246","research",64,0.00065260839417547,4,3,27,31
"247","store",64,0.00065260839417547,16,5,12,33
"248","World",63,0.000642411388016478,15,11,24,18
"249","expansion",63,0.000642411388016478,4,1,66,1
"250","million",63,0.000642411388016478,6,6,28,25
"251","pandemic",63,0.000642411388016478,10,24,26,7
"252","space",63,0.000642411388016478,9,2,41,18
"253","spray",63,0.000642411388016478,NA,NA,NA,63
"254","am",62,0.000632214381857487,26,12,31,9
"255","authority",62,0.000632214381857487,15,10,38,14
"256","blood",62,0.000632214381857487,5,1,5,51
"257","initiative",62,0.000632214381857487,5,7,48,6
"258","rest",62,0.000632214381857487,16,4,17,27
"259","stage",62,0.000632214381857487,15,21,19,16
"260","step",62,0.000632214381857487,16,11,32,11
"261","thought",62,0.000632214381857487,8,2,31,24
"262","content",61,0.000622017375698495,31,3,16,18
"263","force",61,0.000622017375698495,9,5,25,23
"264","fruit",61,0.000622017375698495,3,NA,2,56
"265","grid",61,0.000622017375698495,3,6,54,4
"266","need",61,0.000622017375698495,8,2,29,25
"267","push",61,0.000622017375698495,4,2,25,31
"268","q",61,0.000622017375698495,5,4,4,49
"269","speed",61,0.000622017375698495,3,1,54,7
"270","tree",61,0.000622017375698495,6,NA,15,40
"271","card",60,0.000611820369539503,14,14,28,8
"272","cell",60,0.000611820369539503,3,NA,13,45
"273","class",60,0.000611820369539503,4,10,26,22
"274","drug",60,0.000611820369539503,1,5,15,40
"275","generation",60,0.000611820369539503,9,2,33,17
"276","post",60,0.000611820369539503,12,6,32,11
"277","story",60,0.000611820369539503,7,8,22,24
"278","case",59,0.000601623363380511,5,11,20,23
"279","choice",59,0.000601623363380511,18,6,16,22
"280","medicine",59,0.000601623363380511,9,1,5,44
"281","pasta",59,0.000601623363380511,NA,NA,NA,59
"282","purpose",59,0.000601623363380511,2,9,26,23
"283","root",59,0.000601623363380511,NA,NA,1,58
"284","support",59,0.000601623363380511,11,5,37,10
"285","device",58,0.00059142635722152,3,1,50,4
"286","fear",58,0.00059142635722152,14,15,16,19
"287","travel",58,0.00059142635722152,16,25,18,13
"288","attack",57,0.000581229351062528,11,2,26,23
"289","elites",57,0.000581229351062528,6,9,14,29
"290","pain",57,0.000581229351062528,2,NA,3,52
"291","phone",57,0.000581229351062528,7,3,41,8
"292","side",57,0.000581229351062528,10,6,21,22
"293","State",56,0.000571032344903536,2,3,32,23
"294","info",56,0.000571032344903536,16,2,23,18
"295","message",56,0.000571032344903536,11,3,27,18
"296","operation",56,0.000571032344903536,1,4,29,22
"297","police",56,0.000571032344903536,12,7,28,10
"298","trial",56,0.000571032344903536,10,15,35,7
"299","value",56,0.000571032344903536,4,3,22,30
"300","virus",56,0.000571032344903536,1,16,27,17
"301","woman",56,0.000571032344903536,5,1,20,30
"302","brain",55,0.000560835338744545,2,NA,28,26
"303","detail",55,0.000560835338744545,25,14,20,14
"304","frequency",55,0.000560835338744545,1,2,10,42
"305","fuel",55,0.000560835338744545,10,17,22,12
"306","net",55,0.000560835338744545,22,6,16,13
"307","protest",55,0.000560835338744545,21,3,25,8
"308","resource",55,0.000560835338744545,2,NA,20,33
"309","field",54,0.000550638332585553,8,NA,22,24
"310","help",54,0.000550638332585553,8,2,16,30
"311","move",54,0.000550638332585553,16,3,32,11
"312","eye",53,0.000540441326426561,2,4,23,26
"313","facility",53,0.000540441326426561,2,1,18,32
"314","folk",53,0.000540441326426561,6,1,13,33
"315","measure",53,0.000540441326426561,6,17,24,15
"316","neighborhood",53,0.000540441326426561,40,3,10,4
"317","permission",53,0.000540441326426561,31,15,8,12
"318","result",53,0.000540441326426561,14,6,19,22
"319","risk",53,0.000540441326426561,3,5,15,33
"320","ability",52,0.000530244320267569,4,4,25,24
"321","age",52,0.000530244320267569,6,4,32,17
"322","chocolate",52,0.000530244320267569,NA,NA,NA,52
"323","damage",52,0.000530244320267569,10,13,9,24
"324","gate",52,0.000530244320267569,31,19,5,7
"325","ingredient",52,0.000530244320267569,NA,NA,NA,52
"326","job",52,0.000530244320267569,10,5,27,14
"327","party",52,0.000530244320267569,22,3,21,14
"328","response",52,0.000530244320267569,12,12,19,14
"329","safety",52,0.000530244320267569,NA,6,26,21
"330","Wef",51,0.000520047314108578,8,NA,28,17
"331","alternative",51,0.000520047314108578,4,NA,19,32
"332","limit",51,0.000520047314108578,17,7,25,7
"333","location",51,0.000520047314108578,21,NA,23,8
"334","pesticide",51,0.000520047314108578,NA,NA,NA,51
"335","resistance",51,0.000520047314108578,10,7,31,5
"336","aspect",50,0.000509850307949586,4,4,33,11
"337","chip",50,0.000509850307949586,4,NA,17,30
"338","opinion",50,0.000509850307949586,8,NA,12,31
"339","shit",50,0.000509850307949586,7,4,15,25
"340","vaccination",50,0.000509850307949586,5,11,22,15
"341","crop",49,0.000499653301790594,1,NA,5,44
"342","experience",49,0.000499653301790594,12,2,14,21
"343","garden",49,0.000499653301790594,2,NA,NA,47
"344","politician",49,0.000499653301790594,8,2,15,24
"345","property",49,0.000499653301790594,3,1,38,7
"346","radiation",49,0.000499653301790594,11,1,18,20
"347","standard",49,0.000499653301790594,11,1,38,13
"348","district",48,0.000489456295631603,36,5,11,NA
"349","e",48,0.000489456295631603,10,2,24,13
"350","price",48,0.000489456295631603,2,11,16,26
"351","right",48,0.000489456295631603,15,5,13,17
"352","slave",48,0.000489456295631603,11,NA,24,15
"353","tv",48,0.000489456295631603,2,3,23,20
"354","Trump",47,0.000479259289472611,15,1,4,27
"355","being",47,0.000479259289472611,1,NA,8,38
"356","connection",47,0.000479259289472611,3,NA,35,11
"357","date",47,0.000479259289472611,18,5,18,9
"358","quality",47,0.000479259289472611,2,3,24,22
"359","species",47,0.000479259289472611,1,NA,2,44
"360","activity",46,0.000469062283313619,6,2,30,13
"361","destruction",46,0.000469062283313619,10,3,24,13
"362","effort",46,0.000469062283313619,7,2,27,11
"363","evidence",46,0.000469062283313619,8,6,16,19
"364","footprint",46,0.000469062283313619,8,16,18,9
"365","interview",46,0.000469062283313619,15,6,22,7
"366","ton",46,0.000469062283313619,13,NA,8,25
"367","🇺🇸Join👉",46,0.000469062283313619,23,7,12,5
"368","cattle",45,0.000458865277154627,2,NA,8,37
"369","election",45,0.000458865277154627,12,NA,20,18
"370","evil",45,0.000458865277154627,4,8,24,14
"371","follow",45,0.000458865277154627,22,4,16,7
"372","hundred",45,0.000458865277154627,5,3,18,23
"373","impact",45,0.000458865277154627,7,3,21,15
"374","jab",45,0.000458865277154627,9,3,18,19
"375","knowledge",45,0.000458865277154627,5,2,18,21
"376","model",45,0.000458865277154627,11,7,29,2
"377","parent",45,0.000458865277154627,1,1,17,27
"378","platform",45,0.000458865277154627,5,4,31,5
"379","skin",45,0.000458865277154627,NA,NA,3,42
"380","thanks",45,0.000458865277154627,17,5,19,10
"381","topic",45,0.000458865277154627,10,1,20,15
"382","user",45,0.000458865277154627,4,NA,45,2
"383","vision",45,0.000458865277154627,4,1,33,12
"384","answer",44,0.000448668270995636,6,4,21,15
"385","channel",44,0.000448668270995636,9,5,21,12
"386","compliance",44,0.000448668270995636,7,6,19,16
"387","dance",44,0.000448668270995636,NA,NA,NA,44
"388","feed",44,0.000448668270995636,2,1,5,39
"389","menu",44,0.000448668270995636,1,NA,NA,43
"390","pet",44,0.000448668270995636,NA,1,2,41
"391","robot",44,0.000448668270995636,3,NA,39,2
"392","soup",44,0.000448668270995636,NA,1,NA,43
"393","theorist",44,0.000448668270995636,7,24,15,1
"394","worker",44,0.000448668270995636,NA,5,19,27
"395","activist",43,0.000438471264836644,11,8,21,5
"396","decade",43,0.000438471264836644,10,2,13,20
"397","grasshopper",43,0.000438471264836644,NA,NA,NA,43
"398","guise",43,0.000438471264836644,7,3,25,10
"399","organization",43,0.000438471264836644,7,4,24,8
"400","roads",43,0.000438471264836644,27,11,23,2
"401","scale",43,0.000438471264836644,7,3,17,18
"402","transport",43,0.000438471264836644,18,NA,28,1
"403","beetle",42,0.000428274258677652,NA,NA,NA,42
"404","division",42,0.000428274258677652,5,1,3,33
"405","filter",42,0.000428274258677652,27,15,10,2
"406","fly",42,0.000428274258677652,NA,NA,NA,42
"407","guy",42,0.000428274258677652,10,7,10,15
"408","increase",42,0.000428274258677652,4,2,12,24
"409","injection",42,0.000428274258677652,6,11,23,9
"410","item",42,0.000428274258677652,8,1,9,25
"411","kill",42,0.000428274258677652,2,NA,11,29
"412","live",42,0.000428274258677652,19,1,14,13
"413","moment",42,0.000428274258677652,2,4,17,19
"414","mosquitoe",42,0.000428274258677652,NA,NA,NA,42
"415","piece",42,0.000428274258677652,9,6,16,12
"416","seed",42,0.000428274258677652,NA,NA,2,40
"417","situation",42,0.000428274258677652,5,4,19,14
"418","sustainability",42,0.000428274258677652,7,NA,25,10
"419","egg",41,0.000418077252518661,12,NA,NA,29
"420","expert",41,0.000418077252518661,9,5,15,15
"421","farming",41,0.000418077252518661,1,NA,10,32
"422","leave",41,0.000418077252518661,NA,NA,1,40
"423","permit",41,0.000418077252518661,20,20,3,1
"424","propaganda",41,0.000418077252518661,4,10,24,10
"425","rise",41,0.000418077252518661,12,8,15,10
"426","role",41,0.000418077252518661,1,NA,28,12
"427","science",41,0.000418077252518661,10,5,9,17
"428","sense",41,0.000418077252518661,7,6,9,19
"429","warning",41,0.000418077252518661,2,3,29,7
"430","contract",40,0.000407880246359669,NA,1,37,2
"431","councils",40,0.000407880246359669,21,2,22,NA
"432","crime",40,0.000407880246359669,4,3,22,12
"433","danger",40,0.000407880246359669,6,6,23,10
"434","document",40,0.000407880246359669,4,1,21,16
"435","door",40,0.000407880246359669,8,5,23,7
"436","matter",40,0.000407880246359669,8,5,12,17
"437","movie",40,0.000407880246359669,3,2,26,9
"438","night",40,0.000407880246359669,6,2,15,18
"439","pest",40,0.000407880246359669,NA,NA,NA,40
"440","sensors",40,0.000407880246359669,NA,NA,40,NA
"441","t.me/agentsoftruthchat",40,0.000407880246359669,8,NA,26,6
"442","vegetable",40,0.000407880246359669,NA,NA,NA,40
"443","@SGTnewsNetwork",39,0.000397683240200677,14,4,13,8
"444","@zeeemedia",39,0.000397683240200677,7,1,33,1
"445","attention",39,0.000397683240200677,1,6,20,13
"446","democracy",39,0.000397683240200677,22,5,13,4
"447","design",39,0.000397683240200677,7,8,19,7
"448","experiment",39,0.000397683240200677,3,1,14,22
"449","leaflet",39,0.000397683240200677,33,1,8,NA
"450","opportunity",39,0.000397683240200677,7,2,18,13
"451","plane",39,0.000397683240200677,2,3,1,33
"452","plate",39,0.000397683240200677,10,6,17,13
"453","poison",39,0.000397683240200677,1,1,4,34
"454","race",39,0.000397683240200677,2,2,16,21
"455","region",39,0.000397683240200677,4,2,21,14
"456","sector",39,0.000397683240200677,4,4,20,11
"457","security",39,0.000397683240200677,6,1,21,11
"458","site",39,0.000397683240200677,3,4,19,13
"459","temperature",39,0.000397683240200677,2,12,11,14
"460","account",38,0.000387486234041685,6,2,18,13
"461","act",38,0.000387486234041685,3,7,19,16
"462","allergy",38,0.000387486234041685,NA,1,NA,37
"463","application",38,0.000387486234041685,2,NA,27,12
"464","chemical",38,0.000387486234041685,3,5,8,27
"465","collapse",38,0.000387486234041685,5,13,15,7
"466","drone",38,0.000387486234041685,2,NA,29,10
"467","pollution",38,0.000387486234041685,3,11,24,8
"468","preparation",38,0.000387486234041685,3,1,23,18
"469","secret",38,0.000387486234041685,1,1,23,13
"470","yesterday",38,0.000387486234041685,15,11,9,10
"471","call",37,0.000377289227882694,10,10,19,4
"472","cause",37,0.000377289227882694,3,6,8,22
"473","consultation",37,0.000377289227882694,10,2,31,5
"474","corporations",37,0.000377289227882694,2,3,12,24
"475","decision",37,0.000377289227882694,8,2,24,8
"476","doctor",37,0.000377289227882694,7,1,18,13
"477","flood",37,0.000377289227882694,2,10,18,7
"478","https://rumble.com/user/mariazeee",37,0.000377289227882694,7,1,31,1
"479","means",37,0.000377289227882694,6,5,16,15
"480","target",37,0.000377289227882694,5,6,17,13
"481","tool",37,0.000377289227882694,5,2,22,10
"482","Lockdown",36,0.000367092221723702,3,25,11,NA
"483","board",36,0.000367092221723702,6,2,23,7
"484","cities",36,0.000367092221723702,6,3,32,NA
"485","concentration",36,0.000367092221723702,7,2,20,9
"486","condition",36,0.000367092221723702,8,4,6,18
"487","conversation",36,0.000367092221723702,19,1,4,12
"488","dollar",36,0.000367092221723702,3,1,23,13
"489","domesticus",36,0.000367092221723702,NA,NA,NA,36
"490","interest",36,0.000367092221723702,7,4,15,13
"491","island",36,0.000367092221723702,2,NA,5,29
"492","morning",36,0.000367092221723702,6,2,6,22
"493","novel",36,0.000367092221723702,NA,NA,12,24
"494","paper",36,0.000367092221723702,2,6,12,18
"495","start",36,0.000367092221723702,13,2,9,13
"496","style",36,0.000367092221723702,10,6,16,5
"497","sun",36,0.000367092221723702,1,NA,5,30
"498","tube",36,0.000367092221723702,8,NA,31,6
"499","army",35,0.00035689521556471,NA,1,4,31
"500","billionaire",35,0.00035689521556471,3,1,14,19
"501","bit",35,0.00035689521556471,10,2,8,16
"502","https://gettr.com/user/mariazeee",35,0.00035689521556471,7,1,29,1
"503","individual",35,0.00035689521556471,4,4,19,13
"504","infection",35,0.00035689521556471,2,1,2,30
"505","inflation",35,0.00035689521556471,1,6,9,19
"506","investment",35,0.00035689521556471,1,2,24,10
"507","larva",35,0.00035689521556471,NA,NA,NA,35
"508","mask",35,0.00035689521556471,3,11,13,8
"509","milk",35,0.00035689521556471,2,NA,2,32
"510","regulation",35,0.00035689521556471,3,4,14,14
"511","tomorrow",35,0.00035689521556471,12,3,17,7
"512","treatment",35,0.00035689521556471,NA,4,2,29
"513","tyranny",35,0.00035689521556471,12,5,19,5
"514","up",35,0.00035689521556471,7,5,17,8
"515","variety",35,0.00035689521556471,1,NA,2,32
"516","addition",34,0.000346698209405719,NA,2,12,21
"517","app",34,0.000346698209405719,4,2,28,NA
"518","billion",34,0.000346698209405719,4,NA,21,10
"519","box",34,0.000346698209405719,2,NA,20,17
"520","cancer",34,0.000346698209405719,1,NA,2,31
"521","culture",34,0.000346698209405719,14,2,9,10
"522","growth",34,0.000346698209405719,4,NA,16,14
"523","label",34,0.000346698209405719,1,NA,3,31
"524","livestock",34,0.000346698209405719,2,NA,2,30
"525","meal",34,0.000346698209405719,1,1,4,29
"526","partner",34,0.000346698209405719,1,1,21,11
"527","revolution",34,0.000346698209405719,1,3,28,5
"528","sky",34,0.000346698209405719,4,1,10,19
"529","soul",34,0.000346698209405719,8,1,10,17
"530","subject",34,0.000346698209405719,3,1,8,23
"531","vote",34,0.000346698209405719,9,1,18,8
"532","VoicesofRevelation",33,0.000336501203246727,13,4,8,8
"533","acid",33,0.000336501203246727,NA,NA,NA,33
"534","chance",33,0.000336501203246727,4,1,11,17
"535","comment",33,0.000336501203246727,9,5,15,7
"536","dna",33,0.000336501203246727,1,1,6,25
"537","driver",33,0.000336501203246727,10,NA,21,5
"538","foot",33,0.000336501203246727,6,1,15,12
"539","hemp",33,0.000336501203246727,NA,NA,1,32
"540","hr",33,0.000336501203246727,NA,NA,32,1
"541","implementation",33,0.000336501203246727,6,5,22,1
"542","living",33,0.000336501203246727,6,2,12,15
"543","loss",33,0.000336501203246727,3,2,13,15
"544","mandate",33,0.000336501203246727,7,5,18,3
"545","method",33,0.000336501203246727,3,5,5,20
"546","picture",33,0.000336501203246727,6,5,18,5
"547","pod",33,0.000336501203246727,6,NA,17,11
"548","requirement",33,0.000336501203246727,2,1,6,25
"549","reset",33,0.000336501203246727,6,3,14,10
