"","lemma","n","share","fifteen_minutes","climate_lockdown","ulez","insect"
"1","Insekt",1762,0.0188936188464384,8,4,1,1756
"2","Stadt",1450,0.0155480972345833,1084,200,430,83
"3","Mensch",1415,0.0151727983358175,232,242,354,640
"4","Minute",999,0.0107121028533439,948,142,150,24
"5","Jahr",797,0.00854609206618128,117,202,156,378
"6","Lebensmittel",682,0.00731296711309364,16,13,8,649
"7","Welt",496,0.00531852153679538,44,105,153,210
"8","Kind",474,0.00508261937185687,24,75,49,330
"9","Produkt",432,0.00463226069333791,1,4,19,409
"10","Land",414,0.0044392498311155,43,65,161,167
"11","Essen",406,0.00435346722568331,4,4,1,401
"12","Tag",402,0.00431057592296722,45,66,40,267
"13","Zukunft",376,0.00403178245531262,79,65,117,132
"14","Fleisch",372,0.00398889115259653,15,8,11,342
"15","Plan",358,0.00383877159309021,103,92,138,71
"16","Leben",353,0.0037851574646951,59,62,97,160
"17","Klima",343,0.00367792920790487,23,236,17,83
"18","Regierung",343,0.00367792920790487,61,81,116,95
"19","Käfer",340,0.0036457607308678,2,NA,1,338
"20","Artikel",329,0.00352780964839855,40,126,66,120
"21","Hausgrille",329,0.00352780964839855,NA,NA,NA,329
"22","Bürger",315,0.00337769008889222,59,120,111,42
"23","Teil",302,0.00323829335506493,38,45,109,121
"24","Zeit",272,0.00291660858469424,30,72,67,118
"25","Klimawandel",268,0.00287371728197815,41,127,32,80
"26","Bevölkerung",258,0.00276648902518792,24,36,49,158
"27","Ernährung",251,0.00269142924543476,2,2,2,247
"28","Krieg",234,0.00250914120889137,33,31,117,61
"29","Reaktion",234,0.00250914120889137,NA,10,5,219
"30","Kanal",228,0.00244480425481723,45,54,30,104
"31","Wasser",221,0.00236974447506407,8,10,15,194
"32","Leute",211,0.00226251621827384,58,55,56,70
"33","Freiheit",207,0.00221962491555775,46,93,45,37
"34","Gesundheit",203,0.00217673361284166,10,50,33,112
"35","Video",203,0.00217673361284166,41,27,80,65
"36","Kontrolle",196,0.0021016738330885,57,28,111,31
"37","Quelle",192,0.0020587825303724,31,13,36,118
"38","Verzehr",187,0.00200516840197729,NA,2,NA,185
"39","Auto",186,0.00199444557629827,61,33,48,62
"40","Weltwirtschaftsforum",183,0.0019622770992612,34,18,51,88
"41","System",182,0.00195155427358217,31,36,89,43
"42","Grille",179,0.00191938579654511,NA,NA,NA,179
"43","Tier",178,0.00190866297086608,5,5,8,160
"44","Ziel",177,0.00189794014518706,30,42,68,49
"45","Art",175,0.00187649449382901,28,26,35,97
"46","Medium",175,0.00187649449382901,23,55,43,68
"47","Thema",175,0.00187649449382901,12,48,44,75
"48","Unternehmen",174,0.00186577166814999,11,22,57,90
"49","Weg",173,0.00185504884247097,28,45,56,54
"50","Menschheit",168,0.00180143471407585,15,27,43,87
"51","Überwachung",166,0.00177998906271781,35,31,123,7
"52","Maßnahme",164,0.00175854341135976,27,100,22,28
"53","Konzept",163,0.00174782058568074,127,22,46,2
"54","Wahrheit",163,0.00174782058568074,30,35,27,75
"55","Wahl",161,0.00172637493432269,6,29,90,36
"56","Frage",160,0.00171565210864367,21,57,25,60
"57","Teigware",157,0.0016834836316066,NA,NA,NA,157
"58","Ende",156,0.00167276080592758,13,49,57,42
"59","Pandemie",152,0.00162986950321149,34,64,53,15
"60","Datum",151,0.00161914667753246,13,13,127,9
"61","Kommission",151,0.00161914667753246,4,NA,8,139
"62","Million",150,0.00160842385185344,11,9,62,71
"63","Idee",146,0.00156553254913735,49,23,44,55
"64","Impfung",143,0.00153336407210028,15,52,25,51
"65","Staat",143,0.00153336407210028,16,58,37,37
"66","Vater",142,0.00152264124642126,NA,1,3,138
"67","Geld",140,0.00150119559506321,12,22,49,59
"68","Sohn",140,0.00150119559506321,1,2,NA,138
"69","Entwicklung",139,0.00149047276938419,18,27,62,38
"70","Arbeit",137,0.00146902711802614,27,18,38,66
"71","Politik",137,0.00146902711802614,16,60,27,38
"72","Technologie",137,0.00146902711802614,6,4,116,14
"73","Grund",136,0.00145830429234712,17,33,56,46
"74","Garten",135,0.0014475814666681,NA,3,2,130
"75","Klimalockdown",131,0.001404690163952,1,131,NA,NA
"76","Verschwörungstheorie",130,0.00139396733827298,10,75,32,20
"77","Zone",130,0.00139396733827298,112,62,14,NA
"78","Woche",129,0.00138324451259396,22,50,15,59
"79","Beitrag",128,0.00137252168691494,17,20,16,77
"80","Nahrung",128,0.00137252168691494,2,3,4,119
"81","Gesellschaft",127,0.00136179886123591,8,21,65,39
"82","Natur",125,0.00134035320987787,3,4,29,91
"83","Beispiel",123,0.00131890755851982,14,10,42,61
"84","Feld",123,0.00131890755851982,NA,NA,18,105
"85","Gericht",123,0.00131890755851982,NA,10,6,107
"86","Nahrungsmittel",122,0.0013081847328408,5,7,1,109
"87","Gemüse",121,0.00129746190716178,2,NA,NA,120
"88","Bewohner",120,0.00128673908148275,78,29,35,5
"89","Ding",119,0.00127601625580373,21,19,61,31
"90","Globalist",117,0.00125457060444568,28,23,37,35
"91","Information",117,0.00125457060444568,23,26,25,47
"92","Schule",117,0.00125457060444568,9,21,11,77
"93","Snacks",117,0.00125457060444568,NA,NA,NA,117
"94","Suppe",117,0.00125457060444568,NA,NA,NA,117
"95","Folge",116,0.00124384777876666,6,38,34,41
"96","Problem",116,0.00124384777876666,19,26,21,52
"97","Elite",114,0.00122240212740861,32,19,15,56
"98","Basis",111,0.00119023365037155,3,8,7,93
"99","Seite",110,0.00117951082469252,23,25,52,25
"100","Volk",110,0.00117951082469252,5,19,37,50
"101","Krise",108,0.00115806517333448,3,43,37,29
"102","Schritt",106,0.00113661952197643,30,35,29,23
"103","Energie",104,0.00111517387061839,11,32,42,26
"104","Milliarde",104,0.00111517387061839,5,29,23,51
"105","Allergie",103,0.00110445104493936,NA,NA,NA,103
"106","Punkt",103,0.00110445104493936,8,18,46,36
"107","Erfahrung",102,0.00109372821926034,3,5,4,90
"108","Zulassung",102,0.00109372821926034,NA,5,1,96
"109","Frau",101,0.00108300539358132,7,6,15,75
"110","Möglichkeit",101,0.00108300539358132,13,12,31,48
"111","Planet",101,0.00108300539358132,20,27,23,41
"112","Erzeugnis",100,0.00107228256790229,NA,NA,NA,100
"113","Verbot",99,0.00106155974222327,6,49,11,33
"114","Lockdown",97,0.00104011409086522,4,83,5,7
"115","Monat",97,0.00104011409086522,12,32,21,37
"116","Schluß",96,0.0010293912651862,3,13,7,74
"117","Familie",95,0.00101866843950718,8,6,10,79
"118","Körper",95,0.00101866843950718,2,1,20,72
