"","lemma","n","share","fifteen_minutes","climate_lockdown","ulez","insect"
"1","mens",456,0.0236404168178755,49,95,112,209
"2","insect",280,0.0145160454144849,1,NA,3,277
"3","voedsel",205,0.0106278189641765,1,2,4,199
"4","stad",179,0.00927990046140287,88,12,86,7
"5","jaar",166,0.00860594121001607,12,62,45,51
"6","klimaat",132,0.0068432785525429,5,108,11,9
"7","minuut",129,0.00668774949453056,118,7,15,1
"8","land",120,0.00622116232049355,13,19,35,54
"9","wereld",112,0.00580641816579398,13,12,64,27
"10","insecten",111,0.00575457514645653,NA,1,2,108
"11","leven",85,0.00440665664368293,4,23,29,30
"12","boer",84,0.00435481362434548,3,6,30,48
"13","citie",81,0.00419928456633314,22,1,60,NA
"14","geld",80,0.0041474415469957,11,19,25,25
"15","product",80,0.0041474415469957,NA,NA,2,79
"16","klimaatlockdown",74,0.00383638343097102,4,74,NA,NA
"17","bedrijf",72,0.00373269739229613,4,9,33,28
"18","lockdown",72,0.00373269739229613,5,59,4,5
"19","overheid",72,0.00373269739229613,10,17,24,22
"20","plan",72,0.00373269739229613,15,11,25,25
"21","kind",71,0.00368085437295868,11,4,17,40
"22","burger",69,0.00357716833428379,5,15,25,25
"23","controle",68,0.00352532531494634,15,27,17,10
"24","dag",68,0.00352532531494634,15,16,25,16
"25","vlees",67,0.0034734822956089,3,17,8,39
"26","dier",65,0.003369796256934,1,NA,2,62
"27","bevolking",62,0.00321426719892166,3,8,19,33
"28","tijd",62,0.00321426719892166,7,20,12,24
"29","city",59,0.00305873814090933,12,NA,46,2
"30","reactie",55,0.00285136606355954,1,NA,3,52
"31","systeem",54,0.0027995230442221,13,5,25,11
"32","basis",53,0.00274768002488465,NA,5,9,39
"33","gebruik",53,0.00274768002488465,NA,3,16,34
"34","huis",53,0.00274768002488465,7,10,24,13
"35","deel",51,0.00264399398620976,9,6,23,17
"36","toekomst",51,0.00264399398620976,6,4,22,20
"37","auto",50,0.00259215096687231,13,8,29,6
"38","gezondheid",50,0.00259215096687231,2,26,5,17
"39","agenda",49,0.00254030794753486,5,14,16,16
"40","QR-code",48,0.00248846492819742,NA,46,1,1
"41","smart",48,0.00248846492819742,2,NA,47,NA
"42","aarde",47,0.00243662190885997,7,16,10,16
"43","regering",47,0.00243662190885997,8,7,5,29
"44","vrijheid",46,0.00238477888952253,9,10,23,7
"45","chitine",45,0.00233293587018508,NA,NA,NA,45
"46","krekel",45,0.00233293587018508,1,NA,NA,44
"47","oorlog",44,0.00228109285084763,10,4,6,25
"48","probleem",42,0.00217740681217274,1,8,8,25
"49","artikel",41,0.00212556379283529,6,11,5,20
"50","huiskrekel",40,0.00207372077349785,NA,NA,NA,40
"51","internet",39,0.0020218777541604,NA,3,28,8
"52","naam",39,0.0020218777541604,1,1,10,27
"53","week",39,0.0020218777541604,10,11,5,14
"54","keer",38,0.00197003473482296,8,3,14,13
"55","voeding",38,0.00197003473482296,NA,2,2,34
"56","energie",37,0.00191819171548551,4,6,24,3
"57","toegang",37,0.00191819171548551,1,30,5,1
"58","manier",36,0.00186634869614806,1,10,6,19
"59","partij",36,0.00186634869614806,3,NA,29,5
"60","bericht",34,0.00176266265747317,1,9,15,9
"61","gemeente",34,0.00176266265747317,2,1,30,2
"62","meter",34,0.00176266265747317,NA,5,27,2
"63","stuk",33,0.00171081963813572,3,20,4,6
"64","vraag",33,0.00171081963813572,2,3,8,20
"65","lichaam",32,0.00165897661879828,1,NA,13,18
"66","reden",32,0.00165897661879828,1,16,3,12
"67","soort",32,0.00165897661879828,4,5,8,17
"68","stap",30,0.00155529058012339,3,15,11,2
"69","gedrag",29,0.00150344756078594,NA,18,10,1
"70","studie",29,0.00150344756078594,NA,NA,3,26
"71","supermarkt",29,0.00150344756078594,NA,21,2,7
"72","weg",29,0.00150344756078594,4,3,15,8
"73","WEF",28,0.00145160454144849,5,4,12,7
"74","dingen",28,0.00145160454144849,1,4,8,15
"75","groep",28,0.00145160454144849,2,2,12,13
"76","mensheid",28,0.00145160454144849,2,1,14,12
"77","Insecten",27,0.00139976152211105,1,NA,NA,26
"78","consumptie",27,0.00139976152211105,NA,2,2,23
"79","gevolg",27,0.00139976152211105,1,6,7,14
"80","kans",27,0.00139976152211105,1,2,5,19
"81","plaats",27,0.00139976152211105,5,2,8,13
"82","vogel",27,0.00139976152211105,NA,NA,1,26
"83","volk",27,0.00139976152211105,6,6,9,7
"84","werk",27,0.00139976152211105,2,13,7,5
"85","chip",26,0.0013479185027736,2,NA,14,10
"86","domesticus",26,0.0013479185027736,NA,NA,NA,26
"87","feit",26,0.0013479185027736,NA,6,8,12
"88","maatregel",26,0.0013479185027736,4,10,3,9
"89","stof",26,0.0013479185027736,NA,1,2,23
"90","zaak",26,0.0013479185027736,1,5,7,13
"91","bank",25,0.00129607548343616,4,2,12,8
"92","hand",25,0.00129607548343616,3,2,13,7
"93","idee",25,0.00129607548343616,3,4,6,12
"94","media",25,0.00129607548343616,2,7,2,14
"95","nieuws",25,0.00129607548343616,4,5,3,13
"96","paar",25,0.00129607548343616,4,9,11,2
"97","parasiet",25,0.00129607548343616,1,1,NA,23
"98","poeder",25,0.00129607548343616,NA,NA,NA,25
"99","restaurant",25,0.00129607548343616,NA,21,1,3
"100","vaccin",25,0.00129607548343616,1,14,5,5
"101","brood",24,0.00124423246409871,1,1,NA,22
"102","kanaal",24,0.00124423246409871,10,1,13,5
"103","keuze",24,0.00124423246409871,2,7,4,11
"104","miljoen",24,0.00124423246409871,1,2,10,13
"105","minister",24,0.00124423246409871,1,5,4,15
"106","doel",23,0.00119238944476126,2,3,9,9
"107","inwoner",23,0.00119238944476126,10,3,9,2
"108","pasta",23,0.00119238944476126,NA,NA,NA,23
"109","planeet",23,0.00119238944476126,8,4,5,10
"110","staat",23,0.00119238944476126,2,1,10,10
