"","channel_url","is_climate_post","n"
"1","https://t.me/s/neverforgetnikiblog",0,1167
"2","https://t.me/s/Anwaelte_fuer_Aufklaerung",0,1108
"3","https://t.me/s/SchrangTV",0,1063
"4","https://t.me/s/SC360Media",0,829
"5","https://t.me/s/patriot_bayern",0,795
"6","https://t.me/Doc_Heinrich_Fiechtner",0,612
"7","https://t.me/Haintz",0,589
"8","https://t.me/s/join_PLATT_FORM_now",0,575
"9","https://t.me/Dr_Heinrich_Fiechtner",0,562
"10","https://t.me/s/auf1tv",0,506
"11","https://t.me/s/RA_Ludwig",0,481
"12","https://t.me/s/greatawakening_wwg1wga",0,457
"13","https://t.me/s/drpfosten",0,430
"14","https://t.me/qpaper_berlin",0,386
"15","https://t.me/deepstatehunter",0,339
"16","https://t.me/TraugottIckerothLiveticker",0,314
"17","https://t.me/s/evarosen",0,308
"18","https://t.me/Marieallin",0,288
"19","https://t.me/s/fruehwaldinformiert",0,284
"20","https://t.me/s/Wombel_Kunst",0,279
"21","https://t.me/tagesereignisseoffenbarung",0,279
"22","https://t.me/s/LIONMediaTelegram",0,275
"23","https://t.me/s/oliverjanich",0,273
"24","https://t.me/Sammlung_Bernd_Gaa",0,264
"25","https://t.me/s/AllesAusserMainstream",0,264
"26","https://t.me/s/sevenmaexqanons17",0,241
"27","https://t.me/s/QanonAustria",0,239
"28","https://t.me/Widerstand100",0,232
"29","https://t.me/s/MICHAELWENDLEROFFICIAL",0,231
"30","https://t.me/s/buergerinformative",0,230
"31","https://t.me/s/coronadatencheck",0,229
"32","https://t.me/s/LKNews2",0,227
"33","https://t.me/s/waqeupworld",0,209
"34","https://t.me/s/Kampf_fuer_unsere_Zukunft",0,198
"35","https://t.me/s/wirmachenauf_de",0,195
"36","https://t.me/Tat_Sachen",0,194
"37","https://t.me/qanonthetruth1",0,192
"38","https://t.me/selbstdenken",0,184
"39","https://t.me/s/bettinagorzolla",0,171
"40","https://t.me/s/exopolitics_deutsch",0,169
"41","https://t.me/s/the_fall_of_the_Cabal",0,168
"42","https://t.me/wahrheit2020",0,168
"43","https://t.me/s/markus_lowien",0,167
"44","https://t.me/s/Wissensmanufaktur1",0,164
"45","https://t.me/real_jeannedarc",0,163
"46","https://t.me/s/DieAndereWahrheit",0,158
"47","https://t.me/standpunkt",0,158
"48","https://t.me/dieblauehand",0,151
"49","https://t.me/s/ausdermatrix",0,151
"50","https://t.me/LIONMediaTV",0,148
"51","https://t.me/s/StuttgartGrundgesetzdemos",0,147
"52","https://t.me/huhubaer",0,146
"53","https://t.me/s/Kulturstudio",0,146
"54","https://t.me/s/mindofheart",0,146
"55","https://t.me/VolksentscheidMF",0,137
"56","https://t.me/otontv",0,137
"57","https://t.me/s/WE_R_FREE",0,134
"58","https://t.me/s/EvaHermanOffiziell",0,129
"59","https://t.me/BlutgruppeQ2Q2Q",0,126
"60","https://t.me/s/CompactMagazin",0,125
"61","https://t.me/s/bitteltv",0,120
"62","https://t.me/s/DieStundeDerWahrheit",0,119
"63","https://t.me/s/StayAwakeTermine",0,118
"64","https://t.me/qnet17cc",0,117
"65","https://t.me/OutoftheBoxTV_kanal2",0,112
"66","https://t.me/s/WaldgangAlbdruck",0,110
"67","https://t.me/s/q_anonymous_kanal_deutschland",0,108
"68","https://t.me/FaktenFriedenFreiheit",0,107
"69","https://t.me/s/widerstandFBade",0,107
"70","https://t.me/videodump1",0,105
"71","https://t.me/alles_kommt_ans_licht",0,97
"72","https://t.me/awakeningproject",0,97
"73","https://t.me/s/AwakeningHere",0,95
"74","https://t.me/buergerinfochat",0,93
"75","https://t.me/s/trustandlife",0,93
"76","https://t.me/bewusstseinswandel2020",0,92
"77","https://t.me/derwechsel",0,90
"78","https://t.me/QDumbs",0,87
"79","https://t.me/s/eltern_stehen_auf",0,86
"80","https://t.me/verruecktesjahr202q",0,86
"81","https://t.me/CQLQGNE",0,83
"82","https://t.me/Er_Volkslehrer",0,83
"83","https://t.me/naomiseibt",0,81
"84","https://t.me/s/technikus_news",0,81
"85","https://t.me/s/CoronaTransition",0,79
"86","https://t.me/hardy_q_anon",0,78
"87","https://t.me/s/NachrichtenTelegram",0,78
"88","https://t.me/s/martinsellnerIB",0,74
"89","https://t.me/s/Ernergieistalles",0,72
"90","https://t.me/s/Lautgedacht_Heimathland",0,71
"91","https://t.me/s/VickyTheRedSparrow",0,71
"92","https://t.me/s/FreieMedienTV",0,70
"93","https://t.me/globalchange2022",0,67
"94","https://t.me/hallo2qmin",0,67
"95","https://t.me/EfAuF",0,66
"96","https://t.me/s/WirSinDasVolk",0,66
"97","https://t.me/s/vereinigteWahrheitsbewegung",0,66
"98","https://t.me/s/ThomasTrepnau",0,65
"99","https://t.me/s/RASattelmaier",0,63
"100","https://t.me/s/Corona_Reset",0,62
"101","https://t.me/s/GWisnewski",0,61
"102","https://t.me/s/WendezeitHannover",0,61
"103","https://t.me/s/TranslatedPressDE",0,60
"104","https://t.me/s/macklemachtgutelaune",0,60
"105","https://t.me/s/bayern_steht_zusammen",0,57
"106","https://t.me/s/FaschismusfreiesDeutschland",0,55
"107","https://t.me/s/alexander_ehrlich",0,55
"108","https://t.me/dernexus",0,54
"109","https://t.me/s/RA_Friede",0,54
"110","https://t.me/mh171702Q2Q",0,53
"111","https://t.me/s/Heinrichs_Gedanken",0,53
"112","https://t.me/nichtsalsdiewahrheitde2020",0,52
"113","https://t.me/s/taufertshoefer",0,52
"114","https://t.me/s/Unregierbar",0,51
"115","https://t.me/s/aerzte",0,51
"116","https://t.me/kabalenfighter2",0,49
"117","https://t.me/lichtkriegerforum",0,49
"118","https://t.me/s/Impfauswahl",0,49
"119","https://t.me/s/aufwach",0,46
"120","https://t.me/s/mrpcr",0,46
"121","https://t.me/hinzuucom",0,45
"122","https://t.me/s/Austria_Sword_of_truth",0,45
"123","https://t.me/s/liebeisstleben",0,45
"124","https://t.me/EfAuF_Newsletter",0,44
"125","https://t.me/s/indieneuewelt",0,44
"126","https://t.me/s/FGNews07",0,43
"127","https://t.me/s/CoronialisierterWahnsinn",0,42
"128","https://t.me/einer_fuer_alle_alle_fuer_einen",0,41
"129","https://t.me/gulag1972",0,41
"130","https://t.me/s/wim4u",0,41
"131","https://t.me/internationalcoronanews",0,39
"132","https://t.me/world_puzzle",0,38
"133","https://t.me/s/mainstream_luegen",0,35
"134","https://t.me/s/saraslightfight",0,35
"135","https://t.me/deepstatehunterchannel17",0,34
"136","https://t.me/radio_q",0,34
"137","https://t.me/s/curschmann_kaesinger",0,34
"138","https://t.me/s/unblogd",0,34
"139","http://t.me/freier_informationskanal",0,33
"140","https://t.me/Q_Grundlagen_des_Erwachens",0,33
"141","https://t.me/s/AugenAufAA",0,33
"142","https://t.me/s/BewusstSEINlink",0,33
"143","https://t.me/s/HeimatDeutschland",0,32
"144","https://t.me/s/MartinRutter",0,32
"145","https://t.me/s/adrenochrom2021",0,32
"146","https://t.me/Klartext2021Gemeinsam",0,31
"147","https://t.me/QV_TeamNews",0,31
"148","https://t.me/TeichWWG1WGA",0,31
"149","https://t.me/conspiracyfactsdeutsch",0,31
"150","https://t.me/qlobalcapitalnews",0,31
"151","https://t.me/s/Freiheit_2022QMenschQ",0,31
"152","https://t.me/s/FreiheitDerGedanken",0,30
"153","https://t.me/s/wjatscheslawseewald",0,30
"154","https://t.me/Schlafschafkanal",0,29
"155","https://t.me/s/Neustart_Jetzt",0,29
"156","https://t.me/stormriderq",0,29
"157","https://t.me/weare17a_sky",0,29
"158","https://t.me/s/PATRIOTEN24",0,27
"159","https://t.me/s/aktivistmann",0,27
"160","https://t.me/s/freiepressesauerland",0,27
"161","https://t.me/s/DoQusThreads",0,25
"162","https://t.me/s/Into_the_Light_News",0,25
"163","https://t.me/s/freiesachsen",0,25
"164","https://t.me/QAufwachennextlevel",0,24
"165","https://t.me/s/BitchBotBoiiLive",0,23
"166","https://t.me/s/QanencannelHH",0,23
"167","https://t.me/s/blaupausetv",0,23
"168","https://t.me/s/unn_neu",0,23
"169","https://t.me/AnettGatzka",0,21
"170","https://t.me/s/Kesselbunte",0,21
"171","https://t.me/s/baselwach2020News",0,21
"172","https://t.me/s/davebrych_public",0,21
"173","https://t.me/s/einsamerwanderer",0,21
"174","https://t.me/s/Laut_er_staerke",0,20
"175","https://t.me/s/MAHUMO21",0,20
"176","https://t.me/s/NasireaDeepState",0,20
"177","https://t.me/s/OffenbarungEndzeit",0,20
"178","https://t.me/s/dietervonBadWildungen",0,20
"179","https://t.me/s/DDDDoffiziell",0,19
"180","https://t.me/s/INAKARB",0,19
"181","https://t.me/s/NachrichtenUnzensiert",0,19
"182","https://t.me/s/Vivoterra",0,19
"183","https://t.me/s/brittsche",0,19
"184","https://t.me/s/rabbitresearch",0,19
"185","https://t.me/s/samueleckert",0,19
"186","https://t.me/s/thueringer_widerstand",0,19
"187","https://t.me/killuminati82",0,18
"188","https://t.me/s/Anonymous_official108",0,18
