"","link_url","is_climate_post","n"
"1","https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=9KV8CGPK6RQM6&source=url",0,9453
"2","https://www.paypal.com/donate?hosted_button_id=5W4UEHB4T4KWN",0,5420
"3","paypal.me/IgnazBearth",0,3415
"4","http://www.paypal.me/1871Carsten",0,3225
"5","https://www.paypal.com/donate/?cmd=_s-xclick&hosted_button_id=9KV8CGPK6RQM6&source=url",0,2386
"6","http://paypal.me/coronafaktenoriginal",0,1800
"7","https://www.paypal.com/paypalme/afaev",0,1623
"8","https://www.paypal.me/evarosen2020",0,1494
"9","https://www.paypal.com/paypalme/alex081",0,1398
"10","https://www.paypal.com/paypalme/TransitionNews",0,1382
"11","https://www.paypal.com/donate/?hosted_button_id=EU5RGQJHPXVRC",0,1339
"12","paypal.me/pools/c/8wmEV8wvvg",0,1155
"13","https://paypal.me/pools/c/8rTduQXYz2",0,992
"14","https://www.paypal.me/TanjaFiebich",0,869
"15","https://www.paypal.me/Neverforgetniki",0,833
"16","https://www.paypal.me/MiriamHopeJournalist",0,829
"17","https://www.paypal.me/kaitag",0,713
"18","https://www.paypal.com/donate?hosted_button_id=2GJ9KHDM9C6C4",0,687
"19","paypal.me/kallistalk",0,673
"20","https://www.paypal.com/paypalme/kulturstudio",0,580
"21","https://www.paypal.com/paypalme/brittsche",0,543
"22","https://www.paypal.com/paypalme/QPatriotsNews",0,519
"23","https://www.paypal.com/paypalme/spiritscape",0,519
"24","https://www.paypal.com/donate/?hosted_button_id=MLC396RJK2PDS",0,506
"25","https://www.paypal.me/zainz69?locale.x=it_IT",0,481
"26","https://www.paypal.com/paypalme/ignatiaintolaerantia",0,452
"27","https://paypal.me/MLowien",0,425
"28","https://www.paypal.com/donate?hosted_button_id=KL6Q47LM6CQKW",0,410
"29","https://www.paypal.me/streetangelsuk?locale.x=en_GB",0,390
"30","https://www.paypal.com/paypalme/qnet17",0,383
"31","https://www.paypal.com/donate/?hosted_button_id=7W36ZUVVWSU44",0,369
"32","https://paypal.me/TransitionTV",0,338
"33","https://www.paypal.com/donate?hosted_button_id=7W4KAM4FESL3Y",0,303
"34","https://paypal.me/exorciste25?country.x=FR&locale.x=fr_FR",0,272
"35","http://paypal.me/Cassiopeia111",0,264
"36","http://paypal.me/jennystarshine",0,247
"37","https://www.paypal.com/donate?hosted_button_id=VLGQBQWKMZUBE",0,246
"38","https://www.paypal.me/NaomiSeibt2000",0,236
"39","paypal.me/Kinderschuetzen",0,225
"40","paypal.me/sandrosemperfidelis",0,222
"41","https://www.paypal.com/donate?hosted_button_id=K4K9JSMMAU8UW",0,213
"42","paypal.me/AndreasVorhoelter",0,201
"43","www.paypal.com/paypalme/kulturstudio",0,199
