"","channel_url","followers","metric","value"
"1","http://t.me/freier_informationskanal",1118,"Total Views",246
"2","http://t.me/freier_informationskanal",1118,"Mean Views",35.1428571428571
"3","http://t.me/freier_informationskanal",1118,"Total Forwards",4
"4","http://t.me/freier_informationskanal",1118,"Mean Fowards",0.571428571428571
"5","https://t.me/AVVvaccinatieschademelden",6025,"Total Views",13050
"6","https://t.me/AVVvaccinatieschademelden",6025,"Mean Views",4350
"7","https://t.me/AVVvaccinatieschademelden",6025,"Total Forwards",652
"8","https://t.me/AVVvaccinatieschademelden",6025,"Mean Fowards",217.333333333333
"9","https://t.me/AkimAronVolpato",4710,"Total Views",14590
"10","https://t.me/AkimAronVolpato",4710,"Mean Views",2918
"11","https://t.me/AkimAronVolpato",4710,"Total Forwards",181
"12","https://t.me/AkimAronVolpato",4710,"Mean Fowards",36.2
"13","https://t.me/AmericanExceptionalism",9217,"Total Views",4843
"14","https://t.me/AmericanExceptionalism",9217,"Mean Views",230.619047619048
"15","https://t.me/AmericanExceptionalism",9217,"Total Forwards",72
"16","https://t.me/AmericanExceptionalism",9217,"Mean Fowards",3.42857142857143
"17","https://t.me/AnettGatzka",539,"Total Views",18501
"18","https://t.me/AnettGatzka",539,"Mean Views",411.133333333333
"19","https://t.me/AnettGatzka",539,"Total Forwards",902
"20","https://t.me/AnettGatzka",539,"Mean Fowards",20.0444444444444
"21","https://t.me/AntiMacronVSGreatReset",22221,"Total Views",18784
"22","https://t.me/AntiMacronVSGreatReset",22221,"Mean Views",2683.42857142857
"23","https://t.me/AntiMacronVSGreatReset",22221,"Total Forwards",804
"24","https://t.me/AntiMacronVSGreatReset",22221,"Mean Fowards",114.857142857143
"25","https://t.me/ArmyOfFrogs17",35405,"Total Views",20509
"26","https://t.me/ArmyOfFrogs17",35405,"Mean Views",2563.625
"27","https://t.me/ArmyOfFrogs17",35405,"Total Forwards",266
"28","https://t.me/ArmyOfFrogs17",35405,"Mean Fowards",33.25
"29","https://t.me/AttiviamociTutti",2788,"Total Views",20100
"30","https://t.me/AttiviamociTutti",2788,"Mean Views",436.95652173913
"31","https://t.me/AttiviamociTutti",2788,"Total Forwards",406
"32","https://t.me/AttiviamociTutti",2788,"Mean Fowards",8.82608695652174
"33","https://t.me/AzazelNews",13772,"Total Views",75270
"34","https://t.me/AzazelNews",13772,"Mean Views",508.581081081081
"35","https://t.me/AzazelNews",13772,"Total Forwards",1101
"36","https://t.me/AzazelNews",13772,"Mean Fowards",7.43918918918919
"37","https://t.me/BlutgruppeQ2Q2Q",187,"Total Views",437
"38","https://t.me/BlutgruppeQ2Q2Q",187,"Mean Views",33.6153846153846
"39","https://t.me/BlutgruppeQ2Q2Q",187,"Total Forwards",9
"40","https://t.me/BlutgruppeQ2Q2Q",187,"Mean Fowards",0.692307692307692
"41","https://t.me/BubaBobane",643,"Total Views",6565
"42","https://t.me/BubaBobane",643,"Mean Views",226.379310344828
"43","https://t.me/BubaBobane",643,"Total Forwards",136
"44","https://t.me/BubaBobane",643,"Mean Fowards",4.68965517241379
"45","https://t.me/CQLQGNE",289,"Total Views",1952
"46","https://t.me/CQLQGNE",289,"Mean Views",34.2456140350877
"47","https://t.me/CQLQGNE",289,"Total Forwards",66
"48","https://t.me/CQLQGNE",289,"Mean Fowards",1.15789473684211
"49","https://t.me/Canale_Veleno",12990,"Total Views",33263
"50","https://t.me/Canale_Veleno",12990,"Mean Views",875.342105263158
"51","https://t.me/Canale_Veleno",12990,"Total Forwards",395
"52","https://t.me/Canale_Veleno",12990,"Mean Fowards",10.3947368421053
"53","https://t.me/ChildresQue",2042,"Total Views",834
"54","https://t.me/ChildresQue",2042,"Mean Views",208.5
"55","https://t.me/ChildresQue",2042,"Total Forwards",5
"56","https://t.me/ChildresQue",2042,"Mean Fowards",1.25
"57","https://t.me/ChrisInfosTrumpAndCo",9016,"Total Views",65072
"58","https://t.me/ChrisInfosTrumpAndCo",9016,"Mean Views",1807.55555555556
"59","https://t.me/ChrisInfosTrumpAndCo",9016,"Total Forwards",1255
"60","https://t.me/ChrisInfosTrumpAndCo",9016,"Mean Fowards",34.8611111111111
"61","https://t.me/DIGITAL_WARRIORS_ITA",7216,"Total Views",2008
"62","https://t.me/DIGITAL_WARRIORS_ITA",7216,"Mean Views",1004
"63","https://t.me/DIGITAL_WARRIORS_ITA",7216,"Total Forwards",47
"64","https://t.me/DIGITAL_WARRIORS_ITA",7216,"Mean Fowards",23.5
"65","https://t.me/DQetNS2V06",179,"Total Views",35007
"66","https://t.me/DQetNS2V06",179,"Mean Views",3182.45454545455
"67","https://t.me/DQetNS2V06",179,"Total Forwards",1254
"68","https://t.me/DQetNS2V06",179,"Mean Fowards",114
