"","term1","term2","cooc","fifteen_minutes","climate_lockdown","ulez","insect"
"1","minuut","stad",49,49,3,3,NA
"2","allergisch","reactie",41,NA,NA,NA,41
"3","klimaat","lockdown",32,1,32,NA,NA
"4","smart","city",25,1,NA,25,NA
"5","smart","citie",23,NA,NA,23,NA
"6","algemeen","bevolking",17,NA,NA,NA,17
"7","heel","wereld",15,1,3,9,4
"8","totaal","controle",13,2,9,1,1
"9","Europees","unie",13,1,1,NA,11
"10","afzienbaar","tijd",13,NA,13,NA,NA
"11","minuut","citie",12,12,1,NA,NA
"12","stuk","vlees",12,NA,10,NA,2
"13","Europees","commissie",11,1,3,1,6
"14","Nederlands","regering",11,2,NA,2,9
"15","dictatoriaal","hel",10,NA,10,NA,NA
"16","hel","open",10,NA,10,NA,NA
"17","fles","wijn",10,NA,10,NA,NA
"18","economisch","verkeer",10,NA,10,NA,NA
"19","politiek","“meet”",10,NA,10,NA,NA
"20","ver","herinnering",10,NA,10,NA,NA
"21","snel","verder",10,NA,10,NA,NA
"22","slimam","stad",10,NA,NA,10,NA
"23","geheim","overeenkomst",10,NA,NA,10,NA
"24","Metavers","wereld",10,NA,NA,10,NA
"25","product","poeder",10,NA,NA,NA,10
"26","ongezond","✔︎",10,NA,NA,NA,10
"27","contant","geld",9,3,1,1,4
"28","klimaat","lockdowns",9,NA,9,NA,NA
"29","eetbaar","insect",9,NA,NA,NA,9
"30","eigen","bodem",9,NA,NA,NA,9
"31","vegetarisch","vleesalternatief",9,NA,NA,NA,9
"32","mobiel","telefoon",8,1,NA,7,NA
"33","nabij","toekomst",8,1,1,4,3
"34","eigen","keuze",8,NA,7,NA,1
"35","ander","dier",8,NA,NA,1,7
"36","groot","kans",8,NA,NA,NA,8
"37","eigen","verantwoordelijkheid",8,NA,NA,NA,8
"38","Meergraan","brood",8,NA,NA,NA,8
"39","ongevuld","deegwaar",8,NA,NA,NA,8
"40","algemeen","deegwaar",8,NA,NA,NA,8
"41","nieuw","jaar",8,NA,NA,NA,8
"42","nieuw","allergisch",8,NA,NA,NA,8
"43","insect","voedsel",8,NA,NA,NA,8
"44","minute","citie",7,7,NA,1,NA
"45","minuut","stijden",7,7,NA,NA,NA
"46","groot","schaal",7,1,1,1,4
"47","eerste","klimaatlockdown",7,NA,7,NA,NA
"48","Nederlands","burger",7,NA,7,NA,NA
"49","paar","jaar",7,NA,4,3,NA
"50","smren","citie",7,NA,NA,7,NA
"51","slim","stad",7,NA,NA,7,NA
"52","heel","lang",7,NA,NA,4,3
"53","Bierachtig","drank",7,NA,NA,NA,7
"54","nieuw","voedingsmiddel",7,NA,NA,NA,7
"55","ander","halffabrikaten",7,NA,NA,NA,7
"56","anafylactisch","reactie",7,NA,NA,NA,7
"57","specifiek","etiketteringsvoorschrift",7,NA,NA,NA,7
"58","mogelijk","allergisch",7,NA,NA,NA,7
"59","drogen","voormengsels",7,NA,NA,NA,7
"60","digitaal","ID",6,2,1,NA,3
"61","centraal","bank",6,2,NA,NA,4
"62","minute","city",6,6,NA,NA,NA
"63","heel","ander",6,NA,1,4,1
"64","globalistisch","machtsgreep",6,NA,6,NA,NA
"65","ander","manier",6,NA,2,2,2
"66","groot","deel",6,NA,1,3,2
"67","mens","ziek",6,NA,1,NA,5
"68","heel","eenvoudig",6,NA,NA,6,NA
"69","heel","goed",6,NA,NA,1,5
"70","Westers","land",6,NA,NA,3,3
"71","apeldoorns","burger",6,NA,NA,6,NA
"72","food","hub",6,NA,NA,1,5
"73","Verwerkt","aardappelproduct",6,NA,NA,NA,6
"74","gryllode","sigillatus",6,NA,NA,NA,6
"75","mogelijk","anafylactisch",6,NA,NA,NA,6
"76","groot","gevaar",5,1,1,3,NA
"77","Europees","parlement",5,1,NA,2,2
"78","15-minuten","stad",5,5,NA,NA,NA
"79","fossiel","brandstof",5,1,1,1,3
"80","mogelijk","mens",5,1,3,NA,1
"81","nieuw","wereld",5,1,NA,2,2
"82","andere","woorden",5,1,NA,2,2
"83","sociaal","kredietsysteem",5,2,2,1,1
"84","groot","stad",5,1,NA,2,2
"85","nieuw","regeling",5,4,2,NA,1
"86","Nederlands","boer",5,NA,1,3,3
"87","echt","goed",5,NA,1,2,2
"88","digitaal","identiteit",5,NA,2,3,NA
"89","heel","erg",5,NA,1,2,2
"90","lang","bezig",5,NA,NA,4,1
"91","mobiel","internet",5,NA,NA,5,NA
"92","slim","meter",5,NA,NA,5,NA
"93","Oostenrijks","bedrijf",5,NA,NA,5,NA
"94","menselijk","lichaam",5,NA,NA,2,3
"95","anafylactisch","shock",5,NA,NA,NA,5
"96","klein","meelworm",5,NA,NA,NA,5
"97","parasiet","dol",5,NA,NA,NA,5
"98","METAMORFISCHE","steroïden",5,NA,NA,NA,5
"99","veilig","omstandigheid",5,NA,NA,NA,5
"100","onzinnig","maatregel",5,NA,NA,NA,5
"101","corrupt","systeem",5,NA,NA,NA,5
"102","menselijk","genoom",5,NA,NA,NA,5
"103","eigenlijk","gewoon",4,3,NA,NA,1
"104","sociaal","krediet",4,1,1,1,1
"105","politiek","partij",4,1,NA,3,NA
"106","normaal","burger",4,1,NA,NA,3
"107","totalitair","regime",4,2,2,1,NA
"108","eigen","buurt",4,4,2,NA,NA
"109","hoog","kosten",4,NA,1,1,2
"110","miljard","euro",4,NA,1,3,1
"111","goed","nieuws",4,NA,1,1,2
"112","QR","code",4,NA,2,1,1
"113","sociaal","media",4,NA,1,NA,3
"114","eigen","huis",4,NA,NA,3,1
"115","groot","probleem",4,NA,NA,3,1
"116","smart","city’",4,NA,NA,4,NA
