"","term1","term2","cooc","fifteen_minutes","climate_lockdown","ulez","insect"
"98","purification","collectif",9,NA,NA,NA,9
"99","saute","émotionnel",9,NA,NA,NA,9
"100","premier","ministre",8,3,3,3,2
"101","nouveau","normalité",8,1,NA,7,1
"102","monnaie","numérique",8,2,1,3,2
"103","véhicule","privé",8,1,6,1,NA
"104","organisation","mondial",8,NA,6,2,NA
"105","nouveau","restriction",8,NA,NA,7,1
"106","autre","chose",8,NA,NA,5,3
"107","seul","exception",8,NA,NA,NA,8
"108","exception","actuel",8,NA,NA,NA,8
"109","restaurant","vegan",8,NA,NA,NA,8
"110","nom","officiel",8,NA,NA,NA,8
"111","protéine","alternatif",8,NA,NA,NA,8
"112","personne","allergique",8,NA,NA,NA,8
"113","réaction","anaphylactique",8,NA,NA,NA,8
"114","grain","multiple",8,NA,NA,NA,8
"115","alternative","végétarien",8,NA,NA,NA,8
"116","projet","mondialiste",7,2,1,6,NA
"117","vie","privé",7,1,NA,5,1
"118","autonomie","alimentaire",7,NA,1,1,5
"119","ville","prison",7,NA,1,7,NA
"120","gens","ordinaire",7,NA,1,NA,6
"121","loi","climat",7,NA,NA,7,NA
"122","système","immunitaire",7,NA,NA,3,4
"123","non-sens","écologique",7,NA,NA,7,NA
"124","temps","réel",7,NA,NA,3,4
"125","nombreux","exemple",7,NA,NA,7,NA
"126","transformation","urbain",7,NA,NA,7,NA
"127","malaise","cardiaque",7,NA,NA,7,NA
"128","brigade","territorial",7,NA,NA,7,NA
"129","quantité","négligeable",7,NA,NA,NA,7
"130","pain","brioche",7,NA,NA,NA,7
"131","produit","alimentaire",7,NA,NA,NA,7
"132","petit","pain",7,NA,NA,NA,7
"133","griller","domestique",7,NA,NA,NA,7
"134","produit","semi-fini",7,NA,NA,NA,7
"135","anaphylactique","possible",7,NA,NA,NA,7
"136","allergique","possible",7,NA,NA,NA,7
"137","minute","citie",6,6,NA,NA,NA
"138","information","personnel",6,6,NA,2,2
"139","premier","ville",6,3,NA,3,NA
"140","Forum","Economique",6,1,NA,3,2
"141","Economique","mondial",6,1,NA,3,2
"142","gouvernement","américain",6,1,NA,3,2
"143","https://t.me/brigadesantigraphene","https://vk.com/xochipellir",6,NA,1,1,4
"144","pseudo-écolo","mondialiste",6,NA,3,3,NA
"145","énergie","fossile",6,NA,2,4,NA
"146","leader","mondial",6,NA,1,4,1
"147","pseudo-changement","climatique",6,NA,2,6,NA
"148","carbone","personnel",6,NA,2,4,NA
"149","grand","entreprise",6,NA,3,NA,3
"150","crise","alimentaire",6,NA,1,NA,5
"151","pénurie","alimentaire",6,NA,2,NA,4
"152","gouvernement","mondial",6,NA,NA,5,1
"153","champ","électromagnétique",6,NA,NA,4,2
"154","domestication","pénitentiaire",6,NA,NA,6,NA
"155","pénitentiaire","issu",6,NA,NA,6,NA
"156","univers","carcéral",6,NA,NA,6,NA
"157","liberté","conditionnel",6,NA,NA,6,NA
"158","système","implicite",6,NA,NA,6,NA
"159","strict","minimum",6,NA,NA,6,NA
"160","privilège","temporaire",6,NA,NA,6,NA
"161","liberté","supplémentaire",6,NA,NA,6,NA
"162","reconfinement","strict",6,NA,NA,6,NA
"163","domestication","social",6,NA,NA,6,NA
"164","forme","traditionnel",6,NA,NA,6,NA
"165","nouveau","rapport",6,NA,NA,6,NA
"166","solidarité","naturel",6,NA,NA,6,NA
"167","tel","méthode",6,NA,NA,6,NA
"168","ingéniérie","comportemental",6,NA,NA,6,NA
"169","haut","sécurité",6,NA,NA,6,NA
"170","responsable","politique",6,NA,NA,6,NA
"171","politique","occidental",6,NA,NA,6,NA
"172","autre","critère",6,NA,NA,6,NA
"173","attitude","politique",6,NA,NA,6,NA
"174","ségrégation","systématique",6,NA,NA,6,NA
"175","dynamique","général",6,NA,NA,6,NA
"176","ségrégation","écologique",6,NA,NA,6,NA
"177","autre","exemple",6,NA,NA,6,NA
"178","mort","économique",6,NA,NA,6,NA
"179","homme","libre",6,NA,NA,6,NA
"180","animal","domestique",6,NA,NA,6,NA
"181","site","web",6,NA,NA,4,2
"182","état","profond",6,NA,NA,3,3
"183","malais","cardiaque",6,NA,NA,6,NA
"184","huile","essentiel",6,NA,NA,NA,6
"185","alimentation","chitineux",6,NA,NA,NA,6
"186","autre","insecte",6,NA,NA,NA,6
"187","école","primaire",6,NA,NA,NA,6
"188","sécurité","alimentaire",6,NA,NA,NA,6
"189","production","alimentaire",6,NA,NA,NA,6
"190","nouveau","réaction",6,NA,NA,NA,6
"191","père","riche",6,NA,NA,NA,6
"192","son","expérience",6,NA,NA,NA,6
"193","eau","cristallin",6,NA,NA,NA,6
"194","autre","bon",6,NA,NA,NA,6
"195","bon","chose",6,NA,NA,NA,6
"196","lumière","électrique",6,NA,NA,NA,6
"197","symphonie","continu",6,NA,NA,NA,6
"198","autre","animal",6,NA,NA,NA,6
"199","feu","lent",6,NA,NA,NA,6
"200","porte","ouvert",6,NA,NA,NA,6
"201","criquet","migrateur",6,NA,NA,NA,6
"202","restauration","rapide",6,NA,NA,NA,6
"203","Parlement","européen",5,4,3,1,1
"204","environnement","urbain",5,3,NA,3,1
"205","surveillance","omniprésent",5,5,NA,1,1
"206","court","distance",5,4,NA,1,2
"207","discours","apocalyptique",5,5,NA,NA,NA
"208","science","exact",5,5,NA,NA,NA
"209","projet","pilote",5,3,2,2,NA
"210","blocage","climatique",5,3,5,NA,NA
"211","Smart","citie",5,1,NA,5,NA
"212","piste","cyclable",5,5,NA,NA,NA
"213","urgence","climatique",5,2,2,1,NA
"214","prison","numérique",5,2,NA,3,NA
"215","conseil","national",5,5,NA,NA,NA
"216","national","suisse",5,5,NA,NA,NA
"217","véhicule","personnel",5,4,NA,1,NA
"218","certain","nombre",5,1,1,NA,4
"219","zone","urbain",5,1,NA,4,NA
"220","propre","quartier",5,2,4,NA,NA
"221","barrière","électronique",5,1,5,NA,NA
"222","passeport","vaccinal",5,NA,4,1,NA
"223","garde","contre",5,NA,5,NA,NA
"224","solution","idéal",5,NA,5,NA,NA
"225","crise","économique",5,NA,1,4,NA
"226","guerre","mondial",5,NA,1,2,2
"227","métropole","français",5,NA,NA,5,NA
"228","même","argumentaire",5,NA,NA,5,NA
"229","bon","score",5,NA,NA,5,NA
"230","élite","dirigeant",5,NA,NA,5,NA
"231","ancien","ministre",5,NA,NA,5,NA
"232","riche","propriétaire",5,NA,NA,5,NA
"233","sens","écologique",5,NA,NA,5,NA
"234","base","universel",5,NA,NA,4,1
"235","acceptation","social",5,NA,NA,5,NA
"236","responsabilité","social",5,NA,NA,5,NA
"237","assemblée","national",5,NA,NA,5,NA
"238","grand","nombre",5,NA,NA,4,1
"239","seul","moyen",5,NA,NA,3,2
"240","nouveau","mode",5,NA,NA,5,NA
"241","réseau","intelligent",5,NA,NA,5,NA
"242","bon","marché",5,NA,NA,1,4
"243","sommet","annuel",5,NA,NA,3,2
"244","autre","traduction",5,NA,NA,5,NA
"245","premier","étape",5,NA,NA,5,NA
"246","système","alimentaire",5,NA,NA,NA,5
"247","rapport","masser",5,NA,NA,NA,5
"248","méthode","suivant",5,NA,NA,NA,5
"249","insecte","diptère",5,NA,NA,NA,5
"250","application","pratique",5,NA,NA,NA,5
"251","approvisionnement","alimentaire",5,NA,NA,NA,5
"252","pass","carbone",4,2,1,2,NA
"253","identification","numérique",4,2,2,NA,NA
"254","réalité","virtuel",4,2,NA,3,1
"255","projet","apocalyptique",4,4,NA,NA,NA
"256","nouveau","rationnement",4,4,NA,NA,NA
"257","nouveau","paradigme",4,1,NA,4,NA
"258","effet","secondaire",4,1,1,1,2
"259","arme","biologique",4,1,1,1,2
"260","élite","mondialiste",4,1,NA,NA,3
"261","autre","personne",4,2,1,NA,2
"262","verrouillage","climatique",4,1,3,NA,NA
"263","gros","titre",4,2,1,1,NA
"264","nouveau","système",4,1,1,2,NA
"265","posted","by",4,2,NA,2,NA
"266","nouveau","étape",4,2,NA,NA,2
"267","ciel","ouvert",4,3,NA,1,NA
"268","service","urbain",4,1,NA,3,NA
"269","péage","anti-pauvre",4,1,NA,4,NA
"270","population","français",4,1,NA,4,NA
"271","dernier","étape",4,1,4,NA,NA
"272","principal","route",4,1,4,NA,NA
"273","sabbat","vert",4,NA,4,NA,NA
"274","élite","mondial",4,NA,4,NA,NA
"275","taxe","carbone",4,NA,1,2,1
"276","même","temps",4,NA,2,1,1
"277","combustible","fossile",4,NA,3,1,NA
"278","énergie","nucléaire",4,NA,1,3,NA
"279","moteur","thermique",4,NA,1,3,NA
"280","théorie","complotiste",4,NA,3,NA,1
"281","énergie","extrême",4,NA,4,NA,NA
"282","magnifique","villes-prison",4,NA,4,4,NA
"283","projet","phare",4,NA,1,3,NA
"284","énergie","renouvelable",4,NA,1,2,1
"285","réseau","social",4,NA,1,3,NA
"286","véhicule","électrique",4,NA,NA,4,NA
"287","modèle","chinois",4,NA,NA,4,NA
"288","rouble","numérique",4,NA,NA,4,NA
"289","média","local",4,NA,NA,4,NA
"290","directeur","adjoint",4,NA,NA,4,NA
"291","nouveau","type",4,NA,NA,4,NA
"292","nouveau","réseau",4,NA,NA,4,NA
"293","catastrophe","écologique",4,NA,NA,2,2
"294","4ème","révolution",4,NA,NA,4,NA
"295","haut","dirigeant",4,NA,NA,3,1
"296","émission","mobillité",4,NA,NA,4,NA
"297","véhicule","autonome",4,NA,NA,3,1
"298","classe","moyen",4,NA,NA,3,1
"299","pouvoir","public",4,NA,NA,4,NA
"300","haut","technologie",4,NA,NA,4,NA
"301","dépendance","totaler",4,NA,NA,4,NA
"302","numérique","programmable",4,NA,NA,4,NA
"303","Injection","obligatoire",4,NA,NA,4,NA
"304","traitement","naturel",4,NA,NA,4,NA
"305","Puce","cérébral",4,NA,NA,4,NA
"306","nature","sauvage",4,NA,NA,4,NA
"307","bon","moyen",4,NA,NA,4,NA
"308","population","entier",4,NA,NA,4,NA
"309","résistance","politique",4,NA,NA,4,NA
"310","vote","électronique",4,NA,NA,4,NA
"311","transition","énergétique",4,NA,NA,4,NA
"312","école","public",4,NA,NA,4,NA
"313","population","potentiel",4,NA,NA,4,NA
"314","technologie","tel",4,NA,NA,4,NA
"315","maison","personnel",4,NA,NA,4,NA
"316","population","urbain",4,NA,NA,4,NA
"317","autre","outil",4,NA,NA,4,NA
"318","ligne","droit",4,NA,NA,3,1
"319","révolte","futur",4,NA,NA,4,NA
"320","premier","lieu",4,NA,NA,4,NA
"321","sphère","privé",4,NA,NA,4,NA
"322","maturité","sexuel",4,NA,NA,4,NA
"323","diarrhée","verbal",4,NA,NA,4,NA
"324","meilleur","interaction",4,NA,NA,4,NA
"325","intense","déforestation",4,NA,NA,4,NA
"326","ville","existant",4,NA,NA,4,NA
"327","destruction","total",4,NA,NA,4,NA
"328","autre","forme",4,NA,NA,1,3
"329","sincère","affection",4,NA,NA,4,NA
"330","accident","vasculaire",4,NA,NA,4,NA
"331","vasculaire","cérébral",4,NA,NA,4,NA
"332","territorial","autonome",4,NA,NA,4,NA
"333","soldat","ukrainien",4,NA,NA,NA,4
"334","mauvais","esprit",4,NA,NA,NA,4
"335","nombreux","étude",4,NA,NA,NA,4
"336","nombreux","aliment",4,NA,NA,NA,4
"337","brioche","gâteau",4,NA,NA,NA,4
"338","troisième","ferme",4,NA,NA,NA,4
"339","alimentation","humain",4,NA,NA,NA,4
"340","carbone","négatif",4,NA,NA,NA,4
"341","grand","ferme",4,NA,NA,NA,4
"342","abeille","domestique",4,NA,NA,NA,4
"343","autre","source",4,NA,NA,NA,4
"344","média","grand",4,NA,NA,NA,4
"345","jeu","télévisé",4,NA,NA,NA,4
"346","système","éducatif",4,NA,NA,NA,4
"347","alimentaire","durable",4,NA,NA,NA,4
"348","connaissance","total",4,NA,NA,NA,4
"349","gouvernement","italien",4,NA,NA,NA,4
"350","futur","ville",3,2,NA,1,NA
"351","gouvernance","mondial",3,1,2,1,NA
"352","autre","technologie",3,3,NA,1,1
"353","petit","détail",3,3,NA,1,1
"354","entreprise","mondial",3,2,NA,1,NA
"355","accord","véreux",3,3,3,NA,NA
"356","industrie","pharmaceutique",3,1,2,1,NA
"357","parc","automobile",3,1,NA,2,NA
"358","bon","sens",3,2,1,NA,NA
"359","député","européen",3,3,2,NA,NA
"360","transition","numérique",3,1,NA,NA,2
"361","scanner","facial",3,3,NA,NA,NA
"362","bon","nouveau",3,1,1,NA,1
"363","secteur","public",3,1,NA,2,NA
"364","ville","résilient",3,1,NA,3,NA
"365","caméra","intelligent",3,1,2,1,NA
"366","faible","trafic",3,1,NA,3,NA
"367","4ême","révolution",3,1,NA,1,1
"368","ville","numérique",3,1,NA,2,NA
"369","conflit","mondial",3,2,1,NA,NA
"370","espace","vert",3,1,NA,2,NA
"371","organisation","mondialiste",3,3,NA,NA,NA
"372","autre","ville",3,1,2,1,NA
"373","jet","privé",3,1,2,NA,1
"374","besoin","essentiel",3,1,NA,2,NA
"375","souveraineté","australien",3,NA,3,NA,NA
"376","sanitaire","international",3,NA,2,1,NA
"377","contrôle","absolu",3,NA,2,NA,1
"378","1er","confinement",3,NA,3,NA,NA
"379","crédit","carbone",3,NA,1,2,NA
"380","guerre","alimentaire",3,NA,1,NA,2
"381","mesure","coercitif",3,NA,3,NA,NA
"382","souveraineté","national",3,NA,2,1,NA
"383","inflation","galopant",3,NA,3,NA,NA
"384","centrale","nucléaire",3,NA,2,NA,1
"385","prochain","confinement",3,NA,3,NA,NA
"386","tout","nouveau",3,NA,1,2,NA
"387","tel","scénario",3,NA,2,NA,1
"388","gouvernement","français",3,NA,3,NA,NA
"389","pass","vert",3,NA,2,1,NA
"390","compte","bancaire",3,NA,3,NA,NA
"391","jour","illégal",3,NA,3,NA,NA
"392","propre","voiture",3,NA,3,NA,NA
"393","présidence","français",3,NA,2,1,NA
"394","entreprise","français",3,NA,1,NA,2
"395","neutralité","carbone",3,NA,1,2,NA
"396","cour","suprême",3,NA,3,NA,NA
"397","urgence","sanitaire",3,NA,3,NA,NA
"398","Sustainable","Development",3,NA,3,NA,NA
"399","même","manière",3,NA,1,NA,2
"400","argent","liquide",3,NA,2,NA,1
"401","autorité","sanitaire",3,NA,1,NA,2
"402","dernier","mois",3,NA,1,2,NA
"403","lampadaire","intelligent",3,NA,NA,3,NA
"404","secteur","privé",3,NA,NA,3,NA
"405","même","moment",3,NA,NA,3,NA
"406","espace","public",3,NA,NA,3,NA
"407","véhicule","thermique",3,NA,NA,3,NA
"408","militant","écologiste",3,NA,NA,1,2
"409","long","terme",3,NA,NA,3,NA
"410","fonctionnement","urbain",3,NA,NA,3,NA
"411","voiture","individuel",3,NA,NA,3,NA
"412","transformation","alimentaire",3,NA,NA,2,1
"413","nucléaire","français",3,NA,NA,3,NA
"414","circuit","électronumérique",3,NA,NA,3,NA
"415","compteur","intelligent",3,NA,NA,3,NA
"416","transformation","digital",3,NA,NA,3,NA
"417","nucléaire","rime",3,NA,NA,3,NA
"418","couche","monoatomique",3,NA,NA,3,NA
"419","nommer","innovateur",3,NA,NA,3,NA
"420","innovateur","français",3,NA,NA,3,NA
"421","technologie","novateur",3,NA,NA,3,NA
"422","maladie","infectieux",3,NA,NA,3,NA
"423","agent","pathogène",3,NA,NA,1,2
"424","grand","groupe",3,NA,NA,3,NA
"425","service","numérique",3,NA,NA,3,NA
"426","tel","développement",3,NA,NA,3,NA
"427","court","vidéo",3,NA,NA,3,NA
"428","gouvernement","néerlandais",3,NA,NA,3,NA
"429","raison","environnemental",3,NA,NA,3,NA
"430","lieu","public",3,NA,NA,1,2
"431","signe","vital",3,NA,NA,1,2
"432","large","gamme",3,NA,NA,1,2
"433","nouveau","infrastructure",3,NA,NA,1,2
"434","bébé","humain",3,NA,NA,1,2
"435","dernier","technologie",3,NA,NA,3,NA
"436","autre","code",3,NA,NA,3,NA
"437","code","ADN",3,NA,NA,3,NA
"438","déchet","nucléaire",3,NA,NA,3,NA
"439","état","uni",3,NA,NA,3,NA
"440","troisième","fortune",3,NA,NA,3,NA
"441","état","néerlandais",3,NA,NA,3,NA
"442","ADN","Drive",3,NA,NA,3,NA
"443","Drive","archivager",3,NA,NA,3,NA
"444","grand","Réinitialisation",3,NA,NA,1,2
"445","ace","cérébral",3,NA,NA,3,NA
"446","cérébral","implantable",3,NA,NA,3,NA
"447","milieu","rural",3,NA,NA,3,NA
"448","mécanisme","équitable",3,NA,NA,3,NA
"449","partie","prenant",3,NA,NA,3,NA
"450","ville","inclusif",3,NA,NA,3,NA
"451","affaire","urbain",3,NA,NA,3,NA
"452","parc","photovoltaïque",3,NA,NA,3,NA
"453","solution","numérique",3,NA,NA,3,NA
"454","déploiement","efficace",3,NA,NA,3,NA
"455","volet","industriel",3,NA,NA,3,NA
"456","PIB","mondial",3,NA,NA,3,NA
"457","défi","mondial",3,NA,NA,3,NA
"458","logement","abordable",3,NA,NA,3,NA
"459","1er","sommet",3,NA,NA,3,NA
"460","dirigeant","privé",3,NA,NA,3,NA
"461","guerre","climatique",3,NA,NA,3,NA
"462","grand","arme",3,NA,NA,3,NA
"463","sous-commission","judiciaire",3,NA,NA,3,NA
"464","arme","météorologique",3,NA,NA,3,NA
"465","certain","temps",3,NA,NA,1,2
"466","façade","marketing",3,NA,NA,3,NA
"467","compensation","adéquat",3,NA,NA,3,NA
"468","sécurité","saoudienner",3,NA,NA,3,NA
"469","ville","cognitif",3,NA,NA,3,NA
"470","classe","mondial",3,NA,NA,3,NA
"471","manière","transparent",3,NA,NA,3,NA
"472","identification","unique",3,NA,NA,3,NA
"473","fréquence","cardiaque",3,NA,NA,3,NA
"474","coordonné","bancaire",3,NA,NA,3,NA
"475","royaume","saoudien",3,NA,NA,3,NA
"476","abandon","progressif",3,NA,NA,3,NA
"477","monde","égalitaire",3,NA,NA,3,NA
"478","fausse","lune",3,NA,NA,3,NA
"479","jaune","puissance",3,NA,NA,3,NA
"480","vie","quotidien",3,NA,NA,2,1
"481","nouveau","territoire",3,NA,NA,1,2
"482","phase","crise",3,NA,NA,3,NA
"483","pénurier","alimentaire",3,NA,NA,3,NA
"484","3ème","sexe",3,NA,NA,3,NA
"485","échelle","mondial",3,NA,NA,1,2
"486","nouveau","concept",3,NA,NA,3,NA
"487","électromagnétique","étranger",3,NA,NA,3,NA
"488","grand","temps",3,NA,NA,2,1
"489","armée","secret",3,NA,NA,3,NA
"490","groupe","secret",3,NA,NA,3,NA
"491","norme","environnemental",3,NA,NA,3,NA
"492","manière","injuste",3,NA,NA,3,NA
"493","élève","gardien",3,NA,NA,3,NA
"494","école","national",3,NA,NA,3,NA
"495","263ème","promotion",3,NA,NA,3,NA
"496","police","division",3,NA,NA,3,NA
"497","militaire","décéder",3,NA,NA,3,NA
"498","base","aérien",3,NA,NA,3,NA
"499","motard","fonctionnaire",3,NA,NA,3,NA
"500","adjudant","chef",3,NA,NA,3,NA
"501","officier","marinier",3,NA,NA,3,NA
"502","défense","aérien",3,NA,NA,3,NA
"503","sportif","infatigable",3,NA,NA,3,NA
"504","arrêt","cardiorespiratoir",3,NA,NA,3,NA
"505","'un","malais",3,NA,NA,3,NA
"506","trouble","digestif",3,NA,NA,NA,3
"507","repas","complet",3,NA,NA,NA,3
"508","denrée","alimentaire",3,NA,NA,NA,3
"509","insecte","tel",3,NA,NA,NA,3
"510","additif","alimentaire",3,NA,NA,NA,3
"511","prochain","année",3,NA,NA,NA,3
"512","acide","aminé",3,NA,NA,NA,3
"513","eau","toxique",3,NA,NA,NA,3
"514","really","drinkable",3,NA,NA,NA,3
"515","nombreux","produit",3,NA,NA,NA,3
"516","mètre","carré",3,NA,NA,NA,3
"517","jeune","pousse",3,NA,NA,NA,3
"518","Autorité","européen",3,NA,NA,NA,3
"519","dirigeant","mondial",3,NA,NA,NA,3
"520","autre","chaîne",3,NA,NA,NA,3
"521","population","général",3,NA,NA,NA,3
"522","produit","général",3,NA,NA,NA,3
"523","vietnamien","élève",3,NA,NA,NA,3
"524","semaine","prochain",3,NA,NA,NA,3
"525","demande","mondial",3,NA,NA,NA,3
"526","énergie","propre",3,NA,NA,NA,3
"527","petit","vers",3,NA,NA,NA,3
"528","insecte","comestible",3,NA,NA,NA,3
"529","grand","chaîne",3,NA,NA,NA,3
"530","école","australiennes",3,NA,NA,NA,3
"531","éducatif","actuel",3,NA,NA,NA,3
"532","entreprise","alimentaire",3,NA,NA,NA,3
"533","produit","diététique",3,NA,NA,NA,3
"534","autre","ingrédient",3,NA,NA,NA,3
"535","grand","usine",3,NA,NA,NA,3
"536","premier","insecte",3,NA,NA,NA,3
"537","protéine","alternative",3,NA,NA,NA,3
"538","source","alternatif",3,NA,NA,NA,3
"539","vrai","viande",3,NA,NA,NA,3
"540","deuxième","insecte",3,NA,NA,NA,3
"541","mois","dernier",3,NA,NA,NA,3
"542","premier","fois",3,NA,NA,NA,3
"543","élément","essentiel",3,NA,NA,NA,3
"544","nouveau","cas",3,NA,NA,NA,3
"545","partie","intégrant",3,NA,NA,NA,3
"546","base","militaire",3,NA,NA,NA,3
"547","force","vital",3,NA,NA,NA,3
"548","étagère","spécial",3,NA,NA,NA,3
"549","commission","trilatéral",2,2,NA,2,NA
"550","grand","zone",2,1,NA,2,NA
"551","bilan","carbone",2,1,NA,1,1
"552","goulag","numérique",2,1,NA,2,NA
"553","surveillance","global",2,1,NA,2,1
"554","technologie","intelligent",2,1,NA,2,1
"555","meilleur","idée",2,2,NA,1,1
"556","zone","sauvage",2,2,NA,1,1
"557","royaume","virtuel",2,2,NA,1,1
"558","nouveau","camp",2,2,NA,NA,NA
"559","collecte","massif",2,2,NA,NA,NA
"560","donnée","omniprésent",2,2,NA,NA,NA
"561","large","éventail",2,2,NA,NA,NA
"562","moindre","détail",2,2,NA,NA,NA
"563","même","chose",2,2,NA,NA,NA
"564","empire","bancaire",2,2,NA,NA,NA
"565","question","simple",2,1,1,NA,1
"566","entretien","complet",2,2,2,NA,NA
"567","procureur","américain",2,1,1,NA,1
"568","bon","santé",2,1,1,NA,1
"569","numérique","tel",2,1,NA,1,NA
"570","nouveau","magasin",2,2,2,NA,NA
"571","système","social",2,2,2,NA,NA
"572","route","principal",2,1,1,NA,NA
"573","tyrannie","numérique",2,2,2,NA,NA
"574","grand","fleuve",2,2,NA,NA,NA
"575","minute","citi",2,2,NA,NA,NA
"576","véritable","motif",2,2,1,NA,NA
"577","activité","indésirable",2,2,NA,NA,NA
"578","fait","remarquable",2,1,NA,NA,1
"579","génération","futur",2,1,NA,NA,1
"580","prétendu","pandémie",2,2,NA,NA,NA
"581","restriction","important",2,2,NA,NA,NA
"582","prétendu","urgence",2,2,NA,NA,NA
"583","man","ux",2,2,NA,NA,NA
"584","cordless","angle",2,2,NA,NA,NA
"585","his","neighborhood",2,2,NA,NA,NA
"586","I","thi",2,2,NA,NA,NA
"587","15-minut","citie",2,2,NA,NA,NA
"588","The","video",2,2,NA,NA,NA
"589","video","is",2,2,NA,NA,NA
"590","year","old",2,2,NA,NA,NA
"591","Nothing","will",2,2,NA,NA,NA
"592","until","wer",2,2,NA,NA,NA
"593","wer","all",2,2,NA,NA,NA
"594","all","stop",2,2,NA,NA,NA
"595","autorité","compétent",2,2,NA,NA,NA
"596","emprisonnement","permanent",2,2,NA,NA,NA
"597","plein","air",2,1,1,NA,NA
"598","voix","doux",2,2,NA,NA,NA
"599","citoyen","ordinaire",2,1,NA,NA,1
