"","term1","term2","cooc","fifteen_minutes","climate_lockdown","ulez","insect"
"1","smart","city",983,26,10,983,5
"2","minute","city",967,966,38,64,1
"3","climate","lockdown",300,18,300,4,NA
"4","climate","change",217,46,51,62,68
"5","smart","City",177,7,2,176,3
"6","great","Reset",165,14,17,99,38
"7","digital","id",161,44,38,93,1
"8","social","credit",152,39,29,85,6
"9","facial","recognition",82,20,1,63,2
"10","conspiracy","theory",81,29,33,19,16
"11","digital","currency",79,33,12,34,6
"12","smart","Cities",78,3,1,78,1
"13","digital","identity",66,NA,3,64,NA
"14","credit","system",63,16,8,40,5
"15","global","warming",62,19,31,10,14
"16","credit","score",58,18,15,27,3
"17","minute","City",57,55,3,NA,NA
"18","house","cricket",52,NA,NA,NA,52
"19","food","shortage",48,1,9,8,30
"20","more","content",44,29,2,9,6
"21","conspiracy","theorist",43,7,24,14,1
"22","food","supply",43,NA,NA,4,39
"23","human","consumption",39,NA,NA,NA,39
"24","carbon","footprint",38,6,16,13,8
"25","many","people",38,7,7,11,13
"26","ze","bug",38,1,NA,NA,37
"27","mainstream","media",37,9,3,6,20
"28","digital","prison",37,5,2,33,NA
"29","deep","State",35,NA,NA,18,17
"30","allergic","reaction",35,NA,NA,NA,35
"31","surveillance","camera",34,20,1,17,1
"32","alternative","protein",34,NA,NA,NA,34
"33","last","year",33,5,4,19,6
"34","minute","smart",33,1,2,33,NA
"35","food","product",33,NA,NA,1,32
"36","minute","neighbourhood",32,30,2,5,NA
"37","artificial","intelligence",32,1,NA,31,4
"38","follow","@zeeemedia",30,7,1,24,1
"39","carbon","emission",30,1,13,8,9
"40","Acheta","domesticus",30,NA,NA,NA,30
"41","fake","meat",29,3,7,2,21
"42","more","info",29,14,NA,11,5
"43","food","production",29,NA,1,5,23
"44","concentration","camp",28,7,2,18,3
"45","city","prison",28,5,NA,24,1
"46","𝚞𝚗𝚌𝚎𝚗𝚜𝚘𝚛𝚎𝚍","𝚗𝚎𝚠𝚜",28,11,5,7,5
"47","𝙹𝚘𝚒𝚗","𝚞𝚜",28,11,5,7,5
"48","food","crisis",28,NA,NA,NA,28
"49","food","chain",27,1,2,NA,24
"50","central","bank",27,10,10,3,5
"51","🇺🇸Join👉","@SGTnewsNetwork",26,14,1,8,3
"52","social","media",26,11,3,9,4
"53","world","order",26,9,2,12,4
"54","climate","emergency",26,1,15,8,2
"55","large","number",26,NA,NA,2,24
"56","share","🟢",25,15,2,6,2
"57","total","control",25,11,2,10,2
"58","supply","chain",25,1,1,15,9
"59","insect","pest",25,NA,NA,NA,25
"60","new","world",24,6,1,14,4
"61","climate","scam",24,19,5,NA,1
"62","many","beneficial",24,NA,NA,NA,24
"63","public","health",23,2,3,15,4
"64","small","business",23,8,4,17,6
"65","credit","card",23,2,9,9,6
"66","food","source",23,NA,NA,2,21
"67","generator","squirt",23,NA,NA,NA,23
"68","oil","droplet",23,NA,NA,NA,23
"69","-mile","area",23,NA,NA,NA,23
"70","navy","plane",23,NA,NA,NA,23
"71","hand","spray",23,NA,NA,NA,23
"72","dangerous","disease",23,NA,NA,NA,23
"73","harmless","insect",23,NA,NA,NA,23
"74","edible","insects",23,NA,NA,NA,23
"75","edible","insect",23,NA,NA,NA,23
"76","most","people",22,4,2,5,11
"77","council","meeting",22,20,NA,2,NA
"78","human","rights",22,2,3,16,2
"79","Qr","code",22,14,2,6,NA
"80","private","jet",22,4,4,2,13
"81","drawback","—it",22,NA,NA,NA,22
"82","—it","kill",22,NA,NA,NA,22
"83","kill","many",22,NA,NA,NA,22
"84","world","government",21,2,NA,14,5
"85","city","plan",21,16,1,6,NA
"86","traffic","filter",21,14,9,4,NA
"87","digital","surveillance",21,12,NA,9,NA
"88","new","scheme",21,21,17,4,NA
"89","own","food",21,NA,NA,10,11
"90","local","government",20,3,NA,18,NA
"91","same","time",20,2,NA,4,14
"92","water","supply",20,NA,7,6,11
"93","industrial","revolution",20,NA,1,19,2
"94","last","week",19,7,NA,9,3
"95","near","future",19,1,4,6,8
"96","recognition","camera",19,14,1,6,NA
"97","traffic","neighbourhood",19,2,NA,19,NA
"98","Covid","lockdown",19,1,16,2,NA
"99","smart","cities",19,NA,NA,19,NA
"100","new","technology",19,NA,NA,17,2
"101","smart","contract",19,NA,NA,19,NA
"102","protein","source",19,NA,NA,NA,19
"103","cricket","powder",19,NA,NA,NA,19
"104","novel","food",19,NA,NA,NA,19
"105","great","reset",18,5,2,2,9
"106","primary","school",18,1,NA,NA,17
"107","year","old",18,15,1,NA,2
"108","Sustainable","development",18,1,3,16,2
"109","⁣","⁣",18,NA,18,NA,NA
"110","road","user",18,NA,NA,18,NA
