"","topic1","topic2","topic3","topic4"
"1","climatique","villes","plus","insectes"
"2","a","ville","tout","a"
"3","confinement","smart","si","produits"
"4","covid","minutes","c'est","grillons"
"5","contre","a","comme","nourriture"
"6","climatiques","cities","bien","the"
"7","confinements","mondial","être","manger"
"8","place","plus","faire","base"
"9","système","city","a","farine"
"10","après","projet","c’est","d'insectes"
"11","fait","forum","monde","of"
"12","sous","wef","ça","vers"
"13","santé","intelligentes","gens","viande"
"14","faire","économique","tous","comme"
"15","changement","caméras","maintenant","alimentaire"
"16","monde","tous","encore","européenne"
"17","crise","surveillance","fait","in"
"18","afin","monde","déjà","consommation"
"19","réchauffement","millions","non","être"
"20","d'une","lien","chaque","enfants"
