"","lemma","n","share","fifteen_minutes","climate_lockdown","ulez","insect"
"1","l’",664,0.0478282791903767,54,100,306,247
"2","d’",564,0.0406252250954405,29,62,276,213
"3","de",195,0.0140459554851257,9,17,112,60
"4","Smart",178,0.0128214362889865,24,6,160,3
"5","n’",124,0.00893178707772095,26,15,52,45
"6","qu’",121,0.00871569545487287,15,21,50,46
"7","France",113,0.00813945112727797,10,26,58,22
"8","L’",109,0.00785132896348052,6,8,71,29
"9","s’",101,0.00727508463588562,12,18,53,29
"10","le",98,0.00705899301303753,4,2,41,52
"11","City",92,0.00662680976734135,7,2,87,1
"12","C’",85,0.00612259598069582,13,19,30,29
"13","La",85,0.00612259598069582,2,5,46,32
"14","WEF",84,0.00605056543974645,28,14,35,14
"15","ZFE",65,0.00468198516170856,3,3,63,NA
"16","UE",58,0.00417777137506303,1,2,5,50
"17","c’",58,0.00417777137506303,5,3,24,27
"18","Gates",57,0.00410574083411366,4,1,25,28
"19","et",57,0.00410574083411366,2,2,22,31
"20","Le",56,0.0040337102931643,4,9,35,9
"21","Bill",54,0.00388964921126558,2,1,34,18
"22","agenda",52,0.00374558812936685,9,2,42,2
"23","Chine",50,0.00360152704746813,7,5,33,6
"24","Cities",49,0.00352949650651876,10,5,42,NA
"25","Les",49,0.00352949650651876,3,2,18,26
"26","Paris",47,0.00338543542462004,20,9,18,3
"27","Covid",45,0.00324137434272131,8,25,9,10
"28","Schwab",43,0.00309731326082259,3,1,25,15
"29","Klaus",42,0.00302528271987323,3,1,24,14
"30","Europe",40,0.0028812216379745,2,9,18,13
"31","décès",40,0.0028812216379745,NA,NA,40,NA
"32","États-Unis",39,0.00280919109702514,2,2,14,21
"33","AH2020",38,0.00273716055607578,21,6,2,13
"34","Forum",38,0.00273716055607578,13,2,15,9
"35","De",35,0.00252106893322769,2,2,20,11
"36","zones",35,0.00252106893322769,2,NA,36,NA
"37","Oxford",34,0.00244903839227833,27,8,10,NA
"38","Russie",34,0.00244903839227833,1,7,10,16
"39","t.me/ChrisInfosTrumpAndCo",33,0.00237700785132896,5,4,20,9
"40","The",32,0.0023049773103796,4,4,17,9
"41","Davos",31,0.00223294676943024,9,NA,4,18
"42","Twitter",30,0.00216091622848088,NA,6,6,18
"43","vidéo",30,0.00216091622848088,10,5,17,1
"44","Arabie",29,0.00208888568753151,NA,NA,28,1
"45","produits",29,0.00208888568753151,NA,NA,3,26
"46","saoudite",29,0.00208888568753151,NA,NA,28,1
"47","Londres",27,0.00194482460563279,1,1,32,1
"48","Rejoignez",27,0.00194482460563279,NA,8,9,10
"49","en",27,0.00194482460563279,2,3,16,7
"50","Clinton",26,0.00187279406468343,1,NA,NA,25
"51","OMS",26,0.00187279406468343,2,12,12,1
"52","être",26,0.00187279406468343,1,10,12,4
"53","D’",25,0.00180076352373406,4,2,17,3
"54","acheta",25,0.00180076352373406,NA,NA,NA,25
"55","ville",25,0.00180076352373406,7,3,21,NA
"56","Anderson",24,0.0017287329827847,21,19,1,NA
"57","Australie",23,0.00165670244183534,1,3,10,9
"58","Pour",23,0.00165670244183534,NA,4,6,13
"59","dans",23,0.00165670244183534,1,1,3,18
"60","Christine",22,0.00158467190088598,18,16,NA,3
"61","ONU",22,0.00158467190088598,3,2,17,2
"62","faibles",22,0.00158467190088598,NA,NA,23,NA
"63","Subscribe",21,0.00151264135993661,NA,1,9,13
"64","il",21,0.00151264135993661,1,4,6,10
"65","insectes",21,0.00151264135993661,NA,2,NA,19
"66","pour",21,0.00151264135993661,NA,NA,3,18
"67","Canada",20,0.00144061081898725,6,1,8,5
"68","Italie",20,0.00144061081898725,3,3,1,13
"69","New",20,0.00144061081898725,NA,3,4,13
"70","Pays-Bas",20,0.00144061081898725,NA,NA,11,9
"71","ULEZ",20,0.00144061081898725,2,NA,25,NA
"72","Une",20,0.00144061081898725,2,3,14,4
"73","https://t.me/VemHiuTyDy",20,0.00144061081898725,5,4,8,5
"74","source",20,0.00144061081898725,5,3,9,4
"75","émissions",20,0.00144061081898725,NA,NA,21,NA
"76","Amérique",19,0.00136858027803789,NA,2,4,13
"77","Angleterre",19,0.00136858027803789,9,NA,12,2
"78","Internet",19,0.00136858027803789,6,NA,14,5
"79","Royaume-Uni",19,0.00136858027803789,3,1,7,10
"80","Ukraine",19,0.00136858027803789,1,5,3,10
"81","World",19,0.00136858027803789,4,1,10,4
"82","https://t.me/Janet13_vid",19,0.00136858027803789,7,1,12,NA
"83","Aluminium",18,0.00129654973708853,NA,NA,NA,18
"84","Economic",18,0.00129654973708853,2,1,11,4
"85","Macron",18,0.00129654973708853,NA,5,11,2
"86","NEOM",18,0.00129654973708853,NA,3,18,NA
"87","Snacks",18,0.00129654973708853,NA,NA,NA,18
"88","climatique",18,0.00129654973708853,NA,14,4,NA
"89","flash",18,0.00129654973708853,10,3,1,6
"90","trouble",18,0.00129654973708853,NA,NA,NA,18
"91","vérité",18,0.00129654973708853,1,4,8,5
"92","CITIES",17,0.00122451919613916,NA,NA,17,NA
"93","FEM",17,0.00122451919613916,3,1,3,10
"94","Google",17,0.00122451919613916,NA,NA,13,4
"95","IA",17,0.00122451919613916,NA,NA,9,8
"96","Afrique",16,0.0011524886551898,5,2,4,5
"97","Allemagne",16,0.0011524886551898,4,4,8,3
"98","KFC",16,0.0011524886551898,NA,NA,NA,16
"99","News",16,0.0011524886551898,2,1,4,9
"100","Telegram",16,0.0011524886551898,2,2,6,6
"101","Un",16,0.0011524886551898,2,2,10,2
"102","Ursula",16,0.0011524886551898,3,3,3,10
"103","insecte",16,0.0011524886551898,NA,NA,NA,16
"104","jusqu’",16,0.0011524886551898,NA,2,10,4
"105","nouveau",16,0.0011524886551898,1,NA,3,12
