"","lemma","n","share","fifteen_minutes","climate_lockdown","ulez","insect"
"1","City",501,0.0102771338899259,203,27,303,25
"2","World",474,0.0097232763749,53,57,241,153
"3","smart",449,0.00921044534246856,25,11,446,5
"4","agenda",356,0.00730271390182363,93,18,199,65
"5","China",324,0.00664629018031139,64,17,208,39
"6","London",310,0.00635910480214979,47,4,312,15
"7","Oxford",310,0.00635910480214979,205,70,100,1
"8","minute",309,0.00633859156085253,290,24,52,NA
"9","WEF",304,0.00623602535436624,70,28,118,112
"10","New",296,0.00607191942398818,21,34,146,107
"11","Climate",294,0.00603089294139367,51,211,53,27
"12","Forum",279,0.00572319432193481,40,26,134,98
"13","UK",275,0.00564114135674578,94,40,96,71
"14","economic",275,0.00564114135674578,41,29,129,101
"15","UN",270,0.00553857515025949,55,35,164,48
"16","join",265,0.00543600894377321,83,29,108,64
"17","city",259,0.00531292949598966,129,19,150,1
"18","ULEZ",252,0.00516933680690886,21,3,294,2
"19","US",204,0.00418470122464051,52,25,52,80
"20","Council",177,0.00363084370961456,94,60,63,3
"21","Australia",157,0.00322057888366941,22,24,80,34
"22","Schwab",142,0.00291288026421055,16,5,49,76
"23","news",139,0.00285134054031878,46,20,42,38
"24","EU",134,0.00274877433383249,5,1,24,104
"25","Lockdowns",133,0.00272826109253523,29,121,11,6
"26","Cities",129,0.0026462081273462,27,3,107,2
"27","United",120,0.00246158895567089,25,3,60,40
"28","food",119,0.00244107571437363,NA,11,8,101
"29","Covid",117,0.00240004923177911,29,28,48,21
"30","ai",115,0.0023590227491846,14,8,93,6
"31","Bill",111,0.00227696978399557,8,11,62,32
"32","Earth",109,0.00223594330140105,1,1,46,63
"33","Khan",108,0.0022154300601038,11,NA,130,NA
"34","Klaus",107,0.00219491681880654,12,3,41,55
"35","Europe",106,0.00217440357750928,17,8,29,54
"36","May",106,0.00217440357750928,44,5,35,24
"37","God",103,0.00211286385361751,7,7,31,60
"38","GreatBritishBird",103,0.00211286385361751,46,8,35,18
"39","Gates",102,0.00209235061232025,7,8,41,47
"40","Sadiq",99,0.00203081088842848,8,NA,114,NA
"41","Russia",97,0.00198978440583397,8,3,68,18
"42","David",93,0.00190773144064494,55,8,23,11
"43","climate",93,0.00190773144064494,10,76,23,1
"44","watch",86,0.00176413875156413,4,4,74,4
"45","click",85,0.00174362551026688,NA,NA,85,NA
"46","April",84,0.00172311226896962,25,6,40,16
"47","Canada",84,0.00172311226896962,22,12,15,35
"48","european",84,0.00172311226896962,4,1,8,72
"49","Road",83,0.00170259902767236,18,6,65,5
"50","Netherlands",82,0.0016820857863751,2,2,21,57
"51","Saturday",82,0.0016820857863751,42,3,33,9
"52","5G",81,0.00166157254507785,20,1,47,17
"53","Lockdown",81,0.00166157254507785,8,70,12,NA
"54","Park",81,0.00166157254507785,9,4,22,52
"55","Revolution",78,0.00160003282118608,2,4,71,5
"56","Rumble",77,0.00157951957988882,29,4,41,9
"57","insects",77,0.00157951957988882,NA,2,2,77
"58","Global",75,0.0015384930972943,2,11,53,10
"59","carbon",75,0.0015384930972943,18,22,29,19
"60","DDT",74,0.00151797985599705,NA,NA,NA,74
"61","Health",74,0.00151797985599705,23,12,20,22
"62","eat",74,0.00151797985599705,2,3,3,71
"63","Group",72,0.00147695337340253,21,7,21,24
"64","Ukraine",72,0.00147695337340253,8,6,43,16
"65","industrial",71,0.00145644013210527,2,1,66,6
"66","share",71,0.00145644013210527,8,8,34,22
"67","National",70,0.00143592689080802,2,2,14,52
"68","CBDC",69,0.00141541364951076,34,12,26,22
"69","be",69,0.00141541364951076,11,3,28,28
"70","Davos",67,0.00137438716691624,9,3,22,35
"71","Energy",67,0.00137438716691624,4,26,28,13
"72","low",67,0.00137438716691624,23,2,99,1
"73","Nations",66,0.00135387392561899,6,2,47,16
"74","January",65,0.00133336068432173,15,2,21,29
"75","March",65,0.00133336068432173,10,2,50,7
"76","fourth",64,0.00131284744302447,1,1,61,3
"77","America",63,0.00129233420172721,7,11,18,28
"78","England",63,0.00129233420172721,33,2,36,5
"79","Biden",62,0.00127182096042996,7,9,22,24
"80","Bugs",62,0.00127182096042996,2,NA,1,59
"81","Zero",62,0.00127182096042996,28,19,30,8
"82","article",62,0.00127182096042996,1,8,38,18
"83","E",61,0.0012513077191327,12,5,24,27
"84","Trump",61,0.0012513077191327,22,3,24,16
"85","https://t.me/LauraAbolichannel",61,0.0012513077191327,16,5,19,23
"86","Future",59,0.00121028123653819,11,6,28,15
"87","International",59,0.00121028123653819,3,17,27,13
"88","University",59,0.00121028123653819,15,3,26,16
"89","DI",58,0.00118976799524093,20,NA,9,29
"90","Ulez",58,0.00118976799524093,1,NA,69,NA
"91","Johnson",57,0.00116925475394367,2,NA,52,9
