"","lemma","n","share","fifteen_minutes","climate_lockdown","ulez","insect"
"1","EU",668,0.0128848082709667,44,33,45,552
"2","Klima",665,0.0128269423655582,59,609,24,21
"3","smart",653,0.0125954787439241,62,14,643,2
"4","City",546,0.0105315947843531,77,21,512,5
"5","WEF",541,0.0104351516086722,174,77,174,180
"6","Lockdown",535,0.0103194197978551,27,501,17,12
"7","Corona",428,0.00825553583828408,16,324,58,38
"8","Deutschland",342,0.0065967132165728,57,153,45,104
"9","Citie",340,0.00655813594630044,38,4,326,1
"10","Smart",317,0.00611449733816835,22,3,316,1
"11","Agenda",303,0.00584445644626186,45,66,149,54
"12","Great",303,0.00584445644626186,51,71,116,80
"13","Lockdowns",285,0.00549726101381066,43,272,8,1
"14","Reset",277,0.00534295193272124,50,58,106,77
"15","Schwab",252,0.0048607360543168,42,45,65,113
"16","Acheta",227,0.00437852017591235,NA,NA,NA,227
"17","domesticus",225,0.00433994290564,NA,NA,NA,225
"18","Klaus",216,0.0041663451894144,37,39,62,90
"19","5G",215,0.00414705655427822,5,NA,178,36
"20","europäisch",204,0.00393488156778026,15,11,13,169
"21","Telegram",192,0.00370341794614613,36,46,31,88
"22","Europa",180,0.003471954324512,17,41,53,73
"23","CO2",177,0.00341408841910346,28,78,21,60
"24","Gates",172,0.00331764524342258,6,32,55,79
"25","China",167,0.00322120206774169,42,20,96,18
"26","Januar",153,0.0029511611758352,9,10,15,128
"27","WHO",149,0.00287400663529049,17,81,45,7
"28","Oxford",148,0.00285471800015431,135,28,30,NA
"29","in",146,0.00281614072988195,9,19,21,99
"30","Grüne",145,0.00279685209474578,35,44,8,60
"31","the",143,0.00275827482447342,23,23,51,54
"32","New",141,0.00271969755420106,23,34,26,63
"33","der",138,0.00266183164879253,11,26,20,83
"34","USA",131,0.00252681120283929,13,40,23,59
"35","Und",128,0.00246894529743075,7,26,12,84
"36","Bill",122,0.00235321348661369,6,26,35,59
"37","US",121,0.00233392485147751,9,30,36,52
"38","Quelle",120,0.00231463621634133,33,22,25,54
"39","15",119,0.00229534758120515,111,16,22,2
"40","E",116,0.00223748167579662,10,12,15,81
"41","DIE",113,0.00217961577038809,4,26,22,63
"42","Rußland",113,0.00217961577038809,15,25,39,37
"43","Union",112,0.00216032713525191,4,3,16,89
"44","The",111,0.00214103850011573,19,18,44,40
"45","UN",110,0.00212174986497955,42,21,40,21
"46","Bitte",108,0.0020831725947072,18,22,9,63
"47","of",108,0.0020831725947072,14,17,59,26
"48","Dollar",107,0.00206388395957102,3,12,66,29
"49","Davos",106,0.00204459532443484,16,15,16,67
"50","Frankreich",105,0.00202530668929867,20,73,4,9
"51","denkt",102,0.00196744078389013,4,5,9,86
"52","Pulver",99,0.0019095748784816,NA,NA,NA,99
"53","sein",95,0.00183242033793689,5,27,17,46
"54","deutsch",94,0.00181313170280071,11,25,22,39
"55","Charta",93,0.00179384306766453,2,NA,93,NA
"56","Hamburg",93,0.00179384306766453,84,6,9,2
"57","Niederlande",93,0.00179384306766453,4,8,28,53
"58","Zu",90,0.001735977162256,10,15,10,55
"59","Backwaren",87,0.00167811125684747,NA,NA,NA,87
"60","Kanal",87,0.00167811125684747,4,27,13,43
"61","NWO",86,0.00165882262171129,28,29,20,12
"62","World",86,0.00165882262171129,14,18,21,38
"63","Digital",84,0.00162024535143893,20,17,49,5
"64","Food",82,0.00158166808116658,NA,1,1,80
"65","https://t.me/SchubertsLM",82,0.00158166808116658,7,28,12,39
"66","Schweiz",81,0.0015623794460304,16,22,33,24
"67","Ukraine",81,0.0015623794460304,9,9,34,31
"68","Grillen",79,0.00152380217575804,NA,NA,NA,79
"69","Video",79,0.00152380217575804,20,16,28,26
"70","Pandemie",78,0.00150451354062187,6,38,28,13
"71","Schubert",77,0.00148522490548569,7,24,12,38
"72","Pizza",76,0.00146593627034951,NA,NA,NA,76
"73","COVID",74,0.00142735900007715,15,45,12,13
"74","Global",74,0.00142735900007715,6,24,37,7
"75","Lagemeldung",74,0.00142735900007715,7,22,12,37
"76","Dem",73,0.00140807036494098,3,22,17,31
"77","Lauterbach",71,0.00136949309466862,NA,64,1,6
"78","Maismehlbasis",71,0.00136949309466862,NA,NA,NA,71
"79","Link",68,0.00131162718926009,3,3,14,48
"80","Sie",68,0.00131162718926009,11,19,7,32
"81","Snacks",66,0.00127304991898773,NA,NA,NA,66
"82","Euro",64,0.00123447264871538,9,8,22,29
"83","To",64,0.00123447264871538,13,9,24,23
"84","AUF1",63,0.0012151840135792,21,25,14,7
"85","Anderson",63,0.0012151840135792,63,35,NA,NA
"86","Forum",63,0.0012151840135792,11,9,12,34
"87","nicht",61,0.00117660674330684,2,13,11,37
"88","Berlin",60,0.00115731810817067,18,22,10,11
"89","Mai",59,0.00113802947303449,4,19,12,26
"90","Mehrkornbrot",59,0.00113802947303449,NA,NA,NA,59
"91","Foundation",58,0.00111874083789831,3,23,20,12
"92","Österreich",58,0.00111874083789831,5,16,27,12
"93","Großbritannien",57,0.00109945220276213,22,22,5,18
"94","Italien",57,0.00109945220276213,NA,7,4,46
"95","d",57,0.00109945220276213,6,18,8,25
"96","neu",57,0.00109945220276213,2,21,12,23
"97","Kommission",55,0.00106087493248978,6,4,4,43
"98","for",55,0.00106087493248978,9,10,25,14
"99","Dr.",54,0.0010415862973536,1,23,7,23
"100","Ja",54,0.0010415862973536,9,18,7,23
"101","QR",54,0.0010415862973536,27,15,13,11
"102","Suppenpulver",54,0.0010415862973536,NA,NA,NA,54
"103","hier",54,0.0010415862973536,4,10,12,28
"104","Freiheit",53,0.00102229766221742,9,32,8,5
"105","dran",53,0.00102229766221742,2,4,7,41
"106","A",52,0.00100300902708124,7,3,33,10
"107","Kekse",52,0.00100300902708124,NA,NA,NA,52
"108","selbst",52,0.00100300902708124,2,2,4,45
"109","Biden",51,0.000983720391945066,NA,22,9,20
"110","Economic",51,0.000983720391945066,10,9,7,28
"111","Post",51,0.000983720391945066,NA,NA,42,9
"112","SPD",51,0.000983720391945066,5,11,16,19
"113","Ursula",51,0.000983720391945066,1,3,1,47
"114","KI",50,0.000964431756808888,5,5,43,NA
"115","Kanada",50,0.000964431756808888,7,7,18,20
"116","du",50,0.000964431756808888,5,7,6,34
"117","Soße",49,0.00094514312167271,NA,NA,NA,49
"118","VON",49,0.00094514312167271,1,5,NA,43
"119","Himmel",48,0.000925854486536533,NA,2,3,43
"120","Michael",48,0.000925854486536533,3,25,4,16
"121","auf",48,0.000925854486536533,1,13,6,28
"122","Bierähnlich",47,0.000906565851400355,NA,NA,NA,47
"123","Sonne",47,0.000906565851400355,1,2,2,44
"124","Weltwirtschaftsforum",47,0.000906565851400355,4,4,11,28
"125","Allen",46,0.000887277216264177,4,1,4,37
"126","Google",46,0.000887277216264177,9,1,28,10
"127","Nation",46,0.000887277216264177,12,6,26,9
"128","Vietnam",46,0.000887277216264177,NA,NA,NA,46
"129","Christine",45,0.000867988581127999,44,21,NA,1
"130","Fleischalternative",45,0.000867988581127999,NA,NA,NA,45
"131","Heuschrecken",45,0.000867988581127999,NA,NA,NA,45
"132","Mehrkornbrötch",45,0.000867988581127999,NA,NA,NA,45
"133","N",45,0.000867988581127999,8,7,6,24
"134","Türkei",45,0.000867988581127999,20,6,17,3
"135","BRD",44,0.000848699945991822,6,11,6,22
"136","Welt",44,0.000848699945991822,2,6,16,21
"137","Wien",44,0.000848699945991822,7,6,32,4
"138","vereint",44,0.000848699945991822,12,6,25,10
"139","Da",43,0.000829411310855644,4,6,13,21
"140","Für",43,0.000829411310855644,2,20,2,21
"141","Oxfordshire",43,0.000829411310855644,36,16,5,NA
"142","Paris",43,0.000829411310855644,35,10,8,2
"143","mRNA",43,0.000829411310855644,3,6,18,16
"144","überall",43,0.000829411310855644,6,NA,3,34
"145","Gemeinschaft",42,0.000810122675719466,NA,NA,NA,42
"146","Green",42,0.000810122675719466,4,15,10,15
"147","Gruppen",42,0.000810122675719466,4,NA,2,36
"148","Mehlwürmer",42,0.000810122675719466,NA,NA,3,39
"149","Zaun",42,0.000810122675719466,NA,NA,NA,42
"150","Robert",41,0.000790834040583288,2,23,3,13
"151","Bild",40,0.000771545405447111,NA,26,NA,14
"152","September",40,0.000771545405447111,3,13,19,8
"153","Staat",40,0.000771545405447111,4,15,9,12
"154","York",40,0.000771545405447111,8,3,3,26
"155","YouTube",40,0.000771545405447111,14,9,2,15
"156","AfD",39,0.000752256770310933,12,7,2,18
"157","Australien",39,0.000752256770310933,7,5,14,18
"158","Rockefeller",39,0.000752256770310933,NA,7,17,15
"159","Social",39,0.000752256770310933,11,5,17,6
"160","alle",39,0.000752256770310933,5,13,6,16
"161","von",39,0.000752256770310933,4,15,9,16
"162","Eliten",38,0.000732968135174755,12,15,3,12
"163","Habeck",38,0.000732968135174755,6,28,1,3
"164","Krieg",38,0.000732968135174755,5,14,8,13
"165","LEYEN",38,0.000732968135174755,NA,NA,NA,38
"166","Trump",38,0.000732968135174755,3,9,11,15
"167","Twitter",38,0.000732968135174755,9,6,8,17
"168","na",38,0.000732968135174755,3,4,3,30
"169","vereinigt",38,0.000732968135174755,8,4,12,17
"170","@unzensiertV2",37,0.000713679500038577,10,3,2,23
"171","Alarmzäune",37,0.000713679500038577,NA,NA,NA,37
"172","London",37,0.000713679500038577,19,5,10,6
"173","D",36,0.0006943908649024,1,4,7,24
"174","MdEP",36,0.0006943908649024,11,1,NA,25
"175","https://t.me/CoronialisierterWahnsinn",36,0.0006943908649024,17,5,11,8
"176","Amazon",35,0.000675102229766222,4,NA,26,5
"177","Big",35,0.000675102229766222,4,4,19,14
"178","Covid",35,0.000675102229766222,2,22,5,6
"179","Odysee",35,0.000675102229766222,9,1,8,18
"180","was",35,0.000675102229766222,1,5,18,11
"181","Fleisch",34,0.000655813594630044,4,6,2,27
"182","Gott",34,0.000655813594630044,4,2,6,24
"183","Juvin",34,0.000655813594630044,NA,NA,NA,34
"184","Mach",34,0.000655813594630044,NA,NA,NA,34
"185","Plan",34,0.000655813594630044,4,5,23,3
"186","Times",34,0.000655813594630044,6,5,2,22
"187","de",34,0.000655813594630044,5,11,4,14
"188","https://t.me/FaktenFriedenFreiheit/23816",34,0.000655813594630044,NA,NA,NA,34
"189","https://t.me/FaktenFriedenFreiheit/24012",34,0.000655813594630044,NA,NA,NA,34
"190","https://t.me/FaktenFriedenFreiheit/24018",34,0.000655813594630044,NA,NA,NA,34
"191","https://t.me/FaktenFriedenFreiheit/24092",34,0.000655813594630044,NA,NA,NA,34
"192","B",33,0.000636524959493866,8,9,2,14
"193","Bakcwaren",33,0.000636524959493866,NA,NA,NA,33
"194","CDU",33,0.000636524959493866,NA,11,1,21
"195","David",33,0.000636524959493866,10,7,10,6
"196","Karl",33,0.000636524959493866,NA,27,NA,6
"197","Mark",33,0.000636524959493866,2,NA,4,27
"198","Mehr",33,0.000636524959493866,5,8,10,11
"199","R",33,0.000636524959493866,5,5,13,10
"200","a",33,0.000636524959493866,2,7,9,16
"201","an",33,0.000636524959493866,2,10,10,11
"202","https://t.me/Klartext2021Gemeinsam",33,0.000636524959493866,9,7,6,11
"203","@AnonymeAluhueteBot",32,0.000617236324357688,NA,NA,NA,32
"204","Bloomberg",32,0.000617236324357688,4,NA,1,27
"205","Mainstream",32,0.000617236324357688,4,16,6,11
"206","lassen",32,0.000617236324357688,1,5,3,23
"207","mit",32,0.000617236324357688,1,6,3,22
"208","Hammer",31,0.000597947689221511,6,1,NA,24
"209","John",31,0.000597947689221511,1,10,1,19
"210","Research",31,0.000597947689221511,2,6,4,19
"211","Amerika",30,0.000578659054085333,3,10,4,14
"212","Bundestag",30,0.000578659054085333,1,12,3,14
"213","Essen",30,0.000578659054085333,NA,NA,1,29
"214","Israel",30,0.000578659054085333,1,11,13,5
"215","März",30,0.000578659054085333,7,10,7,13
"216","Society",30,0.000578659054085333,NA,NA,30,NA
"217","👉Warum",30,0.000578659054085333,NA,NA,NA,30
"218","Berliner",29,0.000559370418949155,2,21,2,4
"219","Burger",29,0.000559370418949155,NA,NA,3,26
"220","C40",29,0.000559370418949155,26,6,4,2
"221","Donnerstag",29,0.000559370418949155,NA,3,3,23
"222","Energie",29,0.000559370418949155,NA,12,9,8
"223","Leader",29,0.000559370418949155,2,22,5,NA
"224","Martin",29,0.000559370418949155,5,7,5,15
"225","Ohio",29,0.000559370418949155,4,NA,24,2
"226","One",29,0.000559370418949155,NA,12,2,15
"227","by",29,0.000559370418949155,NA,1,18,10
"228","ganz",29,0.000559370418949155,1,3,16,10
"229","und",29,0.000559370418949155,3,13,2,12
"230","wir",29,0.000559370418949155,3,7,3,16
"231","April",28,0.000540081783812977,9,6,8,6
"232","EFSA",28,0.000540081783812977,NA,NA,NA,28
"233","Energy",28,0.000540081783812977,NA,1,17,10
"234","Hervé",28,0.000540081783812977,NA,NA,NA,28
"235","Interview",28,0.000540081783812977,5,11,12,2
"236","Juli",28,0.000540081783812977,1,8,12,8
"237","Q",28,0.000540081783812977,1,5,16,6
"238","Wahnsinn",28,0.000540081783812977,13,10,6,4
"239","Bücher",27,0.0005207931486768,13,6,3,6
"240","COVID-19",27,0.0005207931486768,8,13,9,5
"241","Co2",27,0.0005207931486768,6,18,3,NA
"242","Denken",27,0.0005207931486768,9,9,2,11
"243","Juni",27,0.0005207931486768,2,13,6,6
"244","NATURPRODUKTE",27,0.0005207931486768,13,6,3,6
"245","Scholz",27,0.0005207931486768,2,4,19,2
"246","da",27,0.0005207931486768,NA,9,5,13
"247","#GreatReset",26,0.000501504513540622,9,8,12,2
"248","#WEF",26,0.000501504513540622,15,6,11,4
"249","August",26,0.000501504513540622,1,7,3,15
"250","Bio",26,0.000501504513540622,NA,NA,15,11
"251","CNN",26,0.000501504513540622,NA,2,12,12
"252","Health",26,0.000501504513540622,3,12,2,9
"253","Japan",26,0.000501504513540622,2,6,13,6
"254","Merkel",26,0.000501504513540622,NA,13,7,6
"255","Notfallkanal",26,0.000501504513540622,7,7,4,8
"256","Parlament",26,0.000501504513540622,3,2,2,21
"257","Tech",26,0.000501504513540622,1,1,24,NA
"258","Vivoterra",26,0.000501504513540622,NA,6,3,17
"259","Wahrheit",26,0.000501504513540622,8,3,14,9
"260","Warum",26,0.000501504513540622,1,3,5,17
"261","Wie",26,0.000501504513540622,1,2,2,21
"262","warum",26,0.000501504513540622,2,NA,14,11
"263","Club",25,0.000482215878404444,6,6,3,10
"264","Hollywood",25,0.000482215878404444,NA,NA,NA,25
"265","Karmin",25,0.000482215878404444,NA,NA,NA,25
"266","Kein",25,0.000482215878404444,4,7,8,10
"267","Kim",25,0.000482215878404444,NA,12,NA,13
"268","McDonald",25,0.000482215878404444,1,1,1,24
"269","Pariser",25,0.000482215878404444,6,19,2,NA
"270","Pasta",25,0.000482215878404444,NA,NA,NA,25
"271","Patrick",25,0.000482215878404444,1,3,22,NA
"272","frei",25,0.000482215878404444,5,11,2,7
"273","https://t.me/FrMaWa",25,0.000482215878404444,12,11,3,4
"274","https://t.me/joinchat/u18uQ0y517A1N2Zi",25,0.000482215878404444,7,7,4,7
