"","channel_url","n","count","share"
"1","https://t.me/PatriziaRamettaChat",182,50,0.274725274725275
"2","https://t.me/esercentinogreenpass",159,29,0.182389937106918
"3","https://t.me/vvincvvv",101,25,0.247524752475247
"4","https://t.me/s/givimi52",88,23,0.261363636363636
"5","https://t.me/s/sadefenza",64,18,0.28125
"6","https://t.me/antonellawerner ",47,16,0.340425531914894
"7","https://t.me/s/buffonatedistato",27,15,0.555555555555556
"8","https://t.me/s/infonesh",86,15,0.174418604651163
"9","https://t.me/s/irimasti",50,14,0.28
"10","https://t.me/s/consenso_disinformato",81,12,0.148148148148148
"11","https://t.me/s/guerrieriperlaliberta",47,12,0.25531914893617
"12","https://t.me/s/Arruinas",56,11,0.196428571428571
"13","https://t.me/s/ilviruselostato",38,11,0.289473684210526
"14","https://t.me/s/italia_costituzionale",71,11,0.154929577464789
"15","https://t.me/AttiviamociTutti",28,10,0.357142857142857
"16","https://t.me/s/videocontrocorrente",48,10,0.208333333333333
"17","https://t.me/s/VaccinoCovid_19",49,9,0.183673469387755
"18","https://t.me/ioapro",67,8,0.119402985074627
"19","https://t.me/s/demgiulib",23,8,0.347826086956522
"20","https://t.me/s/lacivettabianca",24,8,0.333333333333333
"21","https://t.me/s/BrainPass_UNCENSORED",13,7,0.538461538461538
"22","https://t.me/s/EthicalMinds",18,7,0.388888888888889
"23","https://t.me/s/GIACHER",26,7,0.269230769230769
"24","https://t.me/Canale_Veleno",17,6,0.352941176470588
"25","https://t.me/Veleno_Quanto_Basta",22,5,0.227272727272727
"26","https://t.me/ilrisveglio_Q1776",24,5,0.208333333333333
"27","https://t.me/s/MIKAYOUTUBERS",35,5,0.142857142857143
"28","https://t.me/s/apostolidegliultimitempi",17,5,0.294117647058823
"29","https://t.me/s/misteridelclan",28,5,0.178571428571429
"30","https://t.me/s/ricercadellaverita",13,5,0.384615384615385
"31","https://t.me/s/ugofuoco",8,5,0.625
"32","https://t.me/vvvvvinc",25,5,0.2
"33","https://t.me/QANON_IT",21,4,0.19047619047619
"34","https://t.me/robertonuzzocanale",15,4,0.266666666666667
"35","https://t.me/DWITACHAT",19,3,0.157894736842105
"36","https://t.me/ItalianPatriots",5,3,0.6
"37","https://t.me/s/NONCONVIENEIGNORARE",11,3,0.272727272727273
"38","https://t.me/s/ilmilione",6,3,0.5
"39","https://t.me/s/ugorossigruppo",13,3,0.230769230769231
"40","https://t.me/s/wearethestormthestormisuppon",6,3,0.5
"41","https://t.me/GrandeRisveglio",3,2,0.666666666666667
"42","https://t.me/childresqueitalia",17,2,0.117647058823529
"43","https://t.me/s/ByobluOfficial",31,2,0.0645161290322581
"44","https://t.me/s/FKMAGNVS",2,2,1
"45","https://t.me/s/Giovanni832",7,2,0.285714285714286
"46","https://t.me/s/NogeoingegneriaNews",10,2,0.2
"47","https://t.me/s/PissedTexan",9,2,0.222222222222222
"48","https://t.me/s/ThePlanIlCambiamento",15,2,0.133333333333333
"49","https://t.me/s/TheStormQ17",5,2,0.4
"50","https://t.me/s/avvcinquemani",8,2,0.25
"51","https://t.me/s/bordernights",24,2,0.0833333333333333
"52","https://t.me/s/eremitaV",16,2,0.125
"53","https://t.me/s/fD60v55Zke0wYzFk",10,2,0.2
"54","https://t.me/s/lavale007",7,2,0.285714285714286
"55","https://t.me/s/permaculturaORGANICA",21,2,0.0952380952380952
"56","https://t.me/s/portualiditrieste",25,2,0.08
"57","https://t.me/visionetv",9,2,0.222222222222222
"58","https://www.t.me/quiradiolondratv",12,2,0.166666666666667
"59","https://t.me/FulvioOscar",2,1,0.5
"60","https://t.me/childresQueitaliachannel",6,1,0.166666666666667
"61","https://t.me/insiderqitaly/",6,1,0.166666666666667
"62","https://t.me/rossobruni/",15,1,0.0666666666666667
"63","https://t.me/s/AndreaTosattoOfficial",17,1,0.0588235294117647
"64","https://t.me/s/FutureVistas",5,1,0.2
"65","https://t.me/s/IlGiuristaImpertinente",14,1,0.0714285714285714
"66","https://t.me/s/MatteoDemicheliInformalTV",4,1,0.25
"67","https://t.me/s/NewsWorldOrder",4,1,0.25
"68","https://t.me/s/QC_Italia_BlogFEED",3,1,0.333333333333333
"69","https://t.me/s/SalviniNews",2,1,0.5
"70","https://t.me/s/ancoraitaliapartito",4,1,0.25
"71","https://t.me/s/blowinmind_info",6,1,0.166666666666667
"72","https://t.me/s/cesaresacchetti",1,1,1
"73","https://t.me/s/comitatoliberipensatori",12,1,0.0833333333333333
"74","https://t.me/s/fratotolo",9,1,0.111111111111111
"75","https://t.me/s/giuseppemasala",15,1,0.0666666666666667
"76","https://t.me/s/ideeazione",8,1,0.125
"77","https://t.me/s/mittdolcino",4,1,0.25
"78","https://t.me/s/newhumansfivedimension",1,1,1
"79","https://t.me/s/nexus_next",5,1,0.2
"80","https://t.me/s/renateholzeisen",1,1,1
"81","https://t.me/s/robandreoli",6,1,0.166666666666667
"82","https://t.me/s/stefanomanera",2,1,0.5
"83","https://t.me/s/theguardianschannel",1,1,1
"84","https://t.me/s/truth_free",2,1,0.5
"85","https://t.me/trumpandqdigitals",1,1,1
"86","https://t.me/weltanschauungitaliaofficial",5,1,0.2
