"","topic","detected_language","NER_text","n"
"224","ulez","en","Antic",6
"225","ulez","en","Becoming Policy Makers",6
"226","ulez","en","Bezos Hit Top",6
"227","ulez","en","Boris",6
"228","ulez","en","Buckeye",6
"229","ulez","en","Centralised Banking",6
"230","ulez","en","Codex Alimentarius,",6
"231","ulez","en","Dom Perrottet",6
"232","ulez","en","Dominic Perrottet",6
"233","ulez","en","Elon Musk",6
"234","ulez","en","Gene",6
"235","ulez","en","Green Taxes",6
"236","ulez","en","Lockdown",6
"237","ulez","en","NEED",6
"238","ulez","en","Naomi Wolf",6
"239","ulez","en","Neil Oliver",6
"240","ulez","en","Peak Pricing",6
"241","ulez","en","Rothschild",6
"242","ulez","nl","Smart Cities",6
"243","ulez","nl","Smart city",6
"244","ulez","nl","smart city",6
"245","climate_lockdown","en","A332 Windsor",5
"246","climate_lockdown","en","AUTRES",5
"247","climate_lockdown","en","Alex Antic",5
"248","climate_lockdown","en","Ben Harnwell",5
"249","climate_lockdown","en","Greta Thunberg",5
"250","climate_lockdown","en","Howard Palmer",5
"251","climate_lockdown","en","Max",5
"252","climate_lockdown","en","PASSEREZ DONC",5
"253","climate_lockdown","en","R\xc9ALISENT LES",5
"254","climate_lockdown","en","Rear Lawn",5
"255","climate_lockdown","en","Stand Together",5
"256","climate_lockdown","en","UNE APR\xc8S",5
"257","climate_lockdown","en","Wifi",5
"258","climate_lockdown","en","\U0001d679\U0001d698\U0001d692\U0001d697",5
"259","fifteen_minutes","en","A332 Windsor",5
"260","fifteen_minutes","en","Ben",5
"261","fifteen_minutes","en","Chris",5
"262","fifteen_minutes","en","David Icke",5
"263","fifteen_minutes","en","Hobart",5
"264","fifteen_minutes","en","Howard Palmer",5
"265","fifteen_minutes","en","Matt",5
"266","fifteen_minutes","en","Norman Fenton",5
"267","fifteen_minutes","en","Putin",5
"268","fifteen_minutes","en","Rear Lawn",5
"269","fifteen_minutes","en","Stand Together",5
"270","fifteen_minutes","en","\U0001f3fb",5
"271","fifteen_minutes","en","\U0001f6e1",5
"272","insect","en","Agenda 2030",5
"273","insect","en","Animal Skins",5
"274","insect","en","Anthony Fauci",5
"275","insect","en","Bon App\xe9tit",5
"276","insect","en","Brexit",5
"277","insect","en","EMISSIONE DAI",5
"278","insect","en","Eric Bolling",5
"279","insect","en","Feelings",5
"280","insect","en","Graphene",5
"281","insect","en","Instinct Rose",5
"282","insect","en","Jim Mellon",5
"283","insect","en","Karen",5
"284","insect","en","Learning To Make",5
"285","insect","en","Mark Rutte",5
"286","insect","en","Megalopolis",5
"287","insect","en","QUESTE VERIT\xc0",5
"288","insect","en","Robert Downey Jr",5
"289","insect","en","Saint Seraphim",5
"290","insect","en","Soderlund",5
"291","insect","en","Tribes Ran",5
"292","insect","en","\U0001d679\U0001d698\U0001d692\U0001d697",5
"293","insect","en","\U0001f60f",5
"294","insect","nl","Denk",5
"295","insect","nl","Leon",5
"296","insect","nl","Neem",5
"297","ulez","en","Carlos Moreno",5
"298","ulez","en","Coffs",5
"299","ulez","en","Dave Birch",5
"300","ulez","en","Debbie Hicks",5
"301","ulez","en","Graphene Oxide",5
"302","ulez","en","Henry Lamb",5
"303","ulez","en","Marc Lore",5
"304","ulez","en","Surrey",5
"305","ulez","en","Whitney Webb",5
"306","ulez","en","\U0001f1e8\U0001f1f3",5
"307","ulez","en","\U0001f3fd",5
"308","ulez","en","https://t.me/GBBNews23",5
"309","ulez","en","lach mich wech",5
"310","ulez","en","seinen gr\xfcnen Dummies",5
"311","ulez","nl","=pfbid02rs5vz5hRkvgWJHNRrR3dEef9iHkBMHwiR8Y13v9YLm6u7TANFajX53yU8XBukWdGl&id=100002710104526",5
"312","ulez","nl","Agenda 2030",5
"313","ulez","nl","Amsterdam Smart City",5
"314","ulez","nl","Fontys Hogeschool",5
"315","ulez","nl","TU Delft",5
"316","ulez","nl","Waarom",5
"317","ulez","nl","Wilders",5
"318","ulez","nl","city\u2019",5
"319","climate_lockdown","en","Bastyon",4
"320","climate_lockdown","en","Bin Ladin",4
"321","climate_lockdown","en","David Icke",4
"322","climate_lockdown","en","Matt",4
"323","climate_lockdown","nl","Bill Gates",4
"324","climate_lockdown","nl","Denk",4
"325","climate_lockdown","nl","Share",4
"326","climate_lockdown","nl","Waarom",4
"327","climate_lockdown","nl","\U0001f446\U0001f446",4
"328","fifteen_minutes","en","Andrew Bridgen",4
"329","fifteen_minutes","en","Barry",4
"330","fifteen_minutes","en","Dan Andrews",4
"331","fifteen_minutes","en","George",4
"332","fifteen_minutes","en","Guest Speakers",4
"333","fifteen_minutes","en","John & Jane",4
"334","fifteen_minutes","en","Jonathan",4
"335","fifteen_minutes","en","Karl Marx",4
"336","fifteen_minutes","en","Katie Hopkins",4
"337","fifteen_minutes","en","Laurence Fox",4
"338","fifteen_minutes","en","Mark Devlin",4
"339","fifteen_minutes","en","Mark Steyn",4
"340","fifteen_minutes","en","Mike Yeadon",4
"341","fifteen_minutes","en","Nick Fletcher MP",4
"342","fifteen_minutes","en","Peter Ford",4
"343","fifteen_minutes","en","Randy Hillier",4
"344","fifteen_minutes","en","Richard",4
"345","fifteen_minutes","en","Robert Stuart",4
"346","fifteen_minutes","en","Sean Finch",4
"347","fifteen_minutes","en","Spencer Cox",4
"348","fifteen_minutes","en","Wes",4
"349","fifteen_minutes","en","\u2694",4
"350","fifteen_minutes","en","https://t.me/GBBNews23",4
"351","fifteen_minutes","en","serfs",4
"352","fifteen_minutes","nl","15-Minute City",4
"353","fifteen_minutes","nl",NA,4
"354","insect","en","Age Farmer",4
"355","insect","en","Anna Faris",4
"356","insect","en","Armie Ham",4
"357","insect","en","Armie Hammer",4
"358","insect","en","Armie Hammer\u2019s",4
"359","insect","en","Bev\xf6lkerung",4
"360","insect","en","Bill Gate\u2019s",4
"361","insect","en","Bud Eater",4
"362","insect","en","COVID-1984",4
"363","insect","en","Cho",4
"364","insect","en","Cnr Great Eastern Hwy &",4
"365","insect","en","Dort",4
"366","insect","en","Drea Humphrey",4
"367","insect","en","Gazette",4
"368","insect","en","Iron Man",4
"369","insect","en","Iron Man s\u2019est",4
"370","insect","en","Ironman",4
"371","insect","en","Karl Marx",4
"372","insect","en","La Quinta Columna",4
"373","insect","en","Loss",4
"374","insect","en","M\xfcller",4
"375","insect","en","Mark Steyn",4
"376","insect","en","Mechnikov",4
"377","insect","en","Mordaunt",4
"378","insect","en","Peter Savelberg",4
"379","insect","en","Pfizer",4
"380","insect","en","Reportedly Working",4
"381","insect","en","Rod Culleton",4
"382","insect","en","Tituss Burgess",4
"383","insect","en","Trudeau",4
"384","insect","en","Vaccine",4
"385","insect","en","\U0001f449 Lemongrass",4
"386","insect","en","\U0001f92a\U0001f921\n\nType",4
"387","insect","en","\U0001f994\U0001f994\U0001f994",4
"388","insect","en","auf den Berg",4
"389","insect","en","https://m.bild.de/news/ausland/news-ausland/barilla-beben-essen-wir-bald-nudeln-aus-insekten-81828218.bildMobile.html?cid=social.bildsocial.exactagconverter.acquisition..81828218.free.instagram.InstagramBild&t_ref=https%3A%2F%2Fl.instagram.com%2F\n\n",4
"390","insect","en","https://www.nytimes.com/2018/09/07/t-magazine/eating-bugs-food-restaurant.html",4
"391","insect","nl","CO2",4
"392","insect","nl","Corona",4
"393","insect","nl","Degenen",4
"394","insect","nl","Elze van Hamelen",4
"395","insect","nl","Eva Vlaardingerbroek",4
"396","insect","nl","Kowalski",4
"397","insect","nl","Mark Rutte",4
"398","insect","nl","Mislav Kolaku\u0161i\u0107",4
"399","insect","nl","Schudt",4
"400","insect","nl","hebt",4
"401","ulez","en","Agenda 2030-2050",4
"402","ulez","en","Aman Jabbi - The Final Lockdown - Street",4
"403","ulez","en","Ameisen Kollonie",4
"404","ulez","en","Andrew Bridgen",4
"405","ulez","en","Arch",4
"406","ulez","en","BRICST Teams",4
"407","ulez","en","Banken",4
"408","ulez","en","Ben",4
"409","ulez","en","Ben Fisher",4
"410","ulez","en","Cashback Tiers Rewarded",4
"411","ulez","en","Cencur",4
"412","ulez","en","Clara",4
"413","ulez","en","Cloud Computing",4
"414","ulez","en","Colossal",4
"415","ulez","en","Covid Scandal - Dr.",4
"416","ulez","en","Darwin",4
"417","ulez","en","Ein Gott",4
"418","ulez","en","Emotionen u \n\n",4
"419","ulez","en","Energie Krise",4
"420","ulez","en","Frequenz",4
"421","ulez","en","Gene Decode",4
"422","ulez","en","Geordie Rose",4
"423","ulez","en","Gnade",4
"424","ulez","en","Greater Manchester",4
"425","ulez","en","Greater Sydney",4
"426","ulez","en","JFK Jr",4
"427","ulez","en","Jed McCAleb",4
"428","ulez","en","John & Jane",4
"429","ulez","en","John McAfee](https://t.me/johnmcafeechannel",4
"430","ulez","en","Jonathan Tilt",4
"431","ulez","en","Julian Huxley",4
"432","ulez","en","Kognitive Kriegsf\xfchrung",4
"433","ulez","en","Larry McDonald",4
"434","ulez","en","Leeds",4
"435","ulez","en","Mark Zuckerberg",4
"436","ulez","en","Metz Way",4
"437","ulez","en","Musk",4
"438","ulez","en","Nahrung Krisen Klo",4
"439","ulez","en","Oel Krise",4
"440","ulez","en","Opp Warfare",4
"441","ulez","en","Oxford Fighting Back",4
"442","ulez","en","Permissionless Crypto Powered",4
"443","ulez","en","Peter Savelberg",4
"444","ulez","en","Programm",4
"445","ulez","en","Project Aurora",4
"446","ulez","en","Push Agenda",4
"447","ulez","en","Qld",4
"448","ulez","en","Ralph Hamers",4
"449","ulez","en","Reprogramm Human Brain - Soldier",4
"450","ulez","en","Saidq Khan",4
"451","ulez","en","Secret Behind](https://t.me/followsthewhiterabbit/1604",4
"452","ulez","en","Slaughter",4
"453","ulez","en","Spencer Cox",4
"454","ulez","en","Stadt Oxford",4
"455","ulez","en","T[he Danger",4
"456","ulez","en","Truthbomb](https://t.me",4
"457","ulez","en","Valid",4
"458","ulez","en","Virtuell Realit\xe4t",4
"459","ulez","en","Welt Smart Cities",4
"460","ulez","en","WiFi Smart City",4
"461","ulez","en","Zelensky",4
"462","ulez","en","Zelenskyy",4
"463","ulez","en","\U0001f441",4
"464","ulez","en","https://t.me/OfficeOfTheOrangeMan/3",4
"465","ulez","en","https://t.me/QNewsOfficialTV",4
"466","ulez","nl","Ach",4
"467","ulez","nl","Alex Antic",4
"468","ulez","nl","Bastien Girod",4
"469","ulez","nl","Capelle",4
"470","ulez","nl","RFID-chips",4
"471","ulez","nl","Reset agenda",4
"472","ulez","nl","Rutte",4
"473","ulez","nl","Van Dijk",4
"474","ulez","nl","camera\u2019s",4
"475","ulez","nl","car-to-car communicatie",4
"476","ulez","nl","city-functies)[18]",4
"477","climate_lockdown","en","Age Farmer",3
"478","climate_lockdown","en","Bankman-Fried",3
"479","climate_lockdown","en","Banks",3
"480","climate_lockdown","en","COVID-19",3
"481","climate_lockdown","en","Covid mRNA",3
"482","climate_lockdown","en","Glacier",3
"483","climate_lockdown","en","Henry Parkes",3
"484","climate_lockdown","en","Ireland \U0001f1ee\U0001f1ea\n\nThe",3
"485","climate_lockdown","en","James",3
"486","climate_lockdown","en","Jo Nova",3
"487","climate_lockdown","en","Klima-Lockdown",3
"488","climate_lockdown","en","Laura Ingraham",3
"489","climate_lockdown","en","Lockstep",3
"490","climate_lockdown","en","Mike",3
"491","climate_lockdown","en","Moon",3
"492","climate_lockdown","en","Rowan Dean",3
"493","climate_lockdown","en","\U0001f602",3
"494","climate_lockdown","nl","BKR",3
"495","climate_lockdown","nl","Erwin Kompanje",3
"496","climate_lockdown","nl","God",3
"497","climate_lockdown","nl","Great Reset",3
"498","climate_lockdown","nl","Hugo de Jonge",3
"499","climate_lockdown","nl","Lockdowns",3
"500","climate_lockdown","nl","Marc Morano",3
"501","climate_lockdown","nl","Mark Rutte",3
"502","climate_lockdown","nl","Oxfordshire County",3
"503","climate_lockdown","nl","Regulations",3
"504","climate_lockdown","nl","https://www.journalistenwatch.com/2021/04/20/nie-corona-will/\n\n",3
"505","fifteen_minutes","en","Activist",3
"506","fifteen_minutes","en","Alan Graves",3
"507","fifteen_minutes","en","Anderson",3
"508","fifteen_minutes","en","Beeb",3
"509","fifteen_minutes","en","Ben Rubin",3
"510","fifteen_minutes","en","CONTROLLO TOTALE DELLE PERSONE",3
"511","fifteen_minutes","en","Carbon Footprint Tracking",3
"512","fifteen_minutes","en","Christine Lagarde",3
"513","fifteen_minutes","en","Coinbase",3
"514","fifteen_minutes","en","Dan",3
"515","fifteen_minutes","en","Down CANADA",3
"516","fifteen_minutes","en","Dystopia",3
"517","fifteen_minutes","en","Edinburgh George Square",3
"518","fifteen_minutes","en","Girl Exposes",3
"519","fifteen_minutes","en","Greater Manchester",3
"520","fifteen_minutes","en","H.P Lovecraft",3
"521","fifteen_minutes","en","Heard Edinburgh",3
"522","fifteen_minutes","en","Henry Parkes",3
"523","fifteen_minutes","en","James",3
"524","fifteen_minutes","en","James Corbett",3
"525","fifteen_minutes","en","James D. We",3
"526","fifteen_minutes","en","James Delingpole\u2019s",3
"527","fifteen_minutes","en","Jasmin",3
"528","fifteen_minutes","en","Jo Nova",3
"529","fifteen_minutes","en","John McIntyre",3
"530","fifteen_minutes","en","Kilkenny",3
"531","fifteen_minutes","en","Mark Dolan",3
"532","fifteen_minutes","en","NET ZERO - This",3
"533","fifteen_minutes","en","Paul",3
"534","fifteen_minutes","en","Paul Burgess Oxford",3
"535","fifteen_minutes","en","Peter",3
"536","fifteen_minutes","en","Rant Alert",3
"537","fifteen_minutes","en","Reportin",3
"538","fifteen_minutes","en","Rishi Sunak",3
"539","fifteen_minutes","en","Sandi Adams Joins",3
"540","fifteen_minutes","en","Schwab",3
"541","fifteen_minutes","en","Todd Callender",3
"542","fifteen_minutes","en","Volodymyr Zelensky",3
"543","fifteen_minutes","en","Walgreens",3
"544","fifteen_minutes","en","\U0001f1e8",3
"545","fifteen_minutes","en","\U0001f1f8",3
"546","fifteen_minutes","en","https://rumble.com/v1kww0l-digital-id-nazi-id-for-transhumanism.html",3
"547","fifteen_minutes","nl","Ach",3
"548","fifteen_minutes","nl","Australi\xeb \U0001f1e6",3
"549","fifteen_minutes","nl","Ben",3
"550","fifteen_minutes","nl","Corona Genocide",3
"551","fifteen_minutes","nl","Covid",3
"552","fifteen_minutes","nl","Elon Musk",3
"553","fifteen_minutes","nl","Fake Willie",3
"554","fifteen_minutes","nl","Fraude Geld",3
"555","fifteen_minutes","nl","Lockdown",3
"556","fifteen_minutes","nl","Nazi",3
"557","fifteen_minutes","nl","Nazi Rutte",3
"558","fifteen_minutes","nl","Overschrijdt",3
"559","fifteen_minutes","nl","Oxfordshire County",3
"560","fifteen_minutes","nl","Rob                                                            ",3
"561","fifteen_minutes","nl","Valuta",3
"562","fifteen_minutes","nl","hebt",3
"563","insect","en","-eu-food-safety-agency",3
"564","insect","en","Actualit\xe9 - Du Labyrinthe",3
"565","insect","en","Alberto Fiore",3
"566","insect","en","Aldi",3
"567","insect","en","Alert",3
"568","insect","en","Allen Harim Foods",3
"569","insect","en","Annette Kleiser",3
"570","insect","en","Arnica",3
"571","insect","en","Aussies",3
"572","insect","en","Barbara Boxer",3
"573","insect","en","Beadle S Dakota",3
"574","insect","en","Black Soldier Flies",3
"575","insect","en","Catherine Austin",3
"576","insect","en","Cheetos",3
"577","insect","en","Christine Lagarde",3
"578","insect","en","Cmon Aussies",3
"579","insect","en","Doritos",3
"580","insect","en","Eat Bugs",3
"581","insect","en","Flu",3
"582","insect","en","Jensen Beach FL",3
"583","insect","en","Joe Biden",3
"584","insect","en","Keiran Whitaker",3
"585","insect","en","Klaus Schwab",3
"586","insect","en","Knox",3
"587","insect","en","Laura Aboli",3
"588","insect","en","Lidl",3
"589","insect","en","Liz",3
"590","insect","en","Lyon Minnesota",3
"591","insect","en","MEAT",3
"592","insect","en","Marjory Wildcraft",3
"593","insect","en","Max Igan",3
"594","insect","en","Mazac",3
"595","insect","en","Mikaela Peterson",3
"596","insect","en","Mix",3
"597","insect","en","Monbiot",3
"598","insect","en","Robert Monroe",3
"599","insect","en","Sequoia Oklahoma",3
"600","insect","en","Sikh",3
"601","insect","en","Space10",3
"602","insect","en","Stacey Abrams",3
"603","insect","en","Sulfur",3
"604","insect","en","Taylor Swift",3
"605","insect","en","Truss",3
"606","insect","en","Turkeys",3
"607","insect","en","Varroa Mite",3
"608","insect","en","Volodymyr Zelensky",3
"609","insect","en","\U0001f1ee\U0001f1f9",3
"610","insect","en","\U0001f396",3
"611","insect","en","\U0001f3fb\U0001f5e3",3
"612","insect","en","\U0001f602",3
"613","insect","en","acheta domesticus",3
"614","insect","en","entre autre",3
"615","insect","en","https://www.nytimes.com/2022/01/06/health/covid-vaccine-menstrual-cycles.html",3
"616","insect","en","mulberry silkworms",3
"617","insect","en","pea protein",3
"618","insect","nl","Agenda 2030",3
"619","insect","nl","Aldi",3
"620","insect","nl","Allah",3
"621","insect","nl","Ben",3
"622","insect","nl","Bescherm",3
"623","insect","nl","David Sorensen\n\n",3
"624","insect","nl","Foodvalley",3
"625","insect","nl","Francesco Lollobrigida",3
"626","insect","nl","Google",3
"627","insect","nl","Great Reset",3
"628","insect","nl","Invoeren",3
"629","insect","nl","Leuk",3
"630","insect","nl","MSM\n1675",3
"631","insect","nl","Niemand",3
"632","insect","nl","Operation Lockstep",3
"633","insect","nl","Rutte",3
"634","insect","nl","SHIFT Invest",3
"635","insect","nl","\U0001f1f9 \n\n",3
"636","insect","nl","\u2680Corona",3
"637","insect","nl","ijzer",3
"638","insect","nl","sluitingen\nHoreca",3
"639","insect","nl",NA,3
"640","ulez","en","Alexander Wienerberger",3
"641","ulez","en","Anthony Albanese",3
"642","ulez","en","Arroyo Seco",3
"643","ulez","en","Aussie",3
"644","ulez","en","Australian Human",3
"645","ulez","en","Australian Woman",3
"646","ulez","en","Bill Clinton\u2019s",3
"647","ulez","en","Bush",3
"648","ulez","en","Catherine Austin",3
"649","ulez","en","Cecilia",3
"650","ulez","en","Chipotle anno](https://agfundernews.com/",3
"651","ulez","en","Chris Burns",3
"652","ulez","en","Criminal Fraud",3
"653","ulez","en","Dave",3
"654","ulez","en","David Ward",3
"655","ulez","en","DeCremer",3
"656","ulez","en","Derry",3
"657","ulez","en","Don Tapscott",3
"658","ulez","en","Ed Gregory",3
"659","ulez","en","Elizabeth",3
"660","ulez","en","Ford Pro",3
"661","ulez","en","Francis Suarez",3
"662","ulez","en","Gavi",3
"663","ulez","en","Golem",3
"664","ulez","en","Gr\xfcnen Regel",3
"665","ulez","en","Greater London",3
